Molecule	OriginalName	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
CHEMBL205098_0	CHEMBL205098	0.944	0.723	0.222	1.158	0.785	0.373	1.254	0.9	0.354	1058.71
CHEMBL323994_0	CHEMBL323994	0.941	0.743	0.198	1.221	0.888	0.333	1.148	0.82	0.328	952.782
CHEMBL1078277_0	CHEMBL1078277	0.93	0.659	0.272	1.171	0.726	0.444	1.288	0.876	0.412	1033.671
CHEMBL1078688_0	CHEMBL1078688	0.908	0.64	0.269	1.134	0.706	0.428	1.292	0.872	0.42	1030.867
CHEMBL218439_0	CHEMBL218439	0.891	0.534	0.357	1.133	0.634	0.499	1.328	0.772	0.556	911.735
CHEMBL218439_1	CHEMBL218439	0.886	0.532	0.354	1.128	0.632	0.496	1.323	0.77	0.553	908.9
CHEMBL1081484_0	CHEMBL1081484	0.886	0.618	0.268	1.032	0.644	0.388	1.401	0.938	0.463	1122.086
CHEMBL1079523_0	CHEMBL1079523	0.868	0.63	0.238	1.037	0.697	0.341	1.31	0.868	0.442	1026.232
CHEMBL1088030_0	CHEMBL1088030	0.86	0.666	0.194	1.086	0.749	0.337	1.172	0.857	0.314	1008.343
CHEMBL1080955_0	CHEMBL1080955	0.858	0.558	0.3	1.124	0.639	0.485	1.255	0.815	0.44	965.145
CHEMBL1078276_0	CHEMBL1078276	0.855	0.58	0.275	1.135	0.672	0.463	1.212	0.808	0.404	953.217
CHEMBL482189_1	CHEMBL482189	0.845	0.713	0.132	1.055	0.841	0.214	1.081	0.823	0.257	959.474
CHEMBL1080955_1	CHEMBL1080955	0.834	0.558	0.277	1.068	0.639	0.429	1.252	0.815	0.438	965.145
CHEMBL482189_0	CHEMBL482189	0.83	0.71	0.12	1.036	0.84	0.196	1.058	0.822	0.236	957.798
CHEMBL1088029_0	CHEMBL1088029	0.826	0.642	0.183	1.102	0.782	0.32	1.083	0.782	0.301	912.371
CHEMBL231733_1	CHEMBL231733	0.825	0.49	0.334	0.956	0.542	0.415	1.471	0.837	0.634	1007.27
CHEMBL482189_2	CHEMBL482189	0.823	0.698	0.126	1.036	0.831	0.205	1.059	0.813	0.246	947.493
CHEMBL576486_0	CHEMBL576486	0.823	0.602	0.221	1.191	0.783	0.408	1.048	0.723	0.325	839.726
CHEMBL568790_0	CHEMBL568790	0.813	0.558	0.255	1.245	0.787	0.458	1.023	0.658	0.365	760.455
CHEMBL571118_1	CHEMBL571118	0.812	0.673	0.139	1.049	0.794	0.255	1.05	0.816	0.234	953.736
CHEMBL272424_0	CHEMBL272424	0.812	0.628	0.183	0.984	0.729	0.254	1.216	0.82	0.396	962.966
CHEMBL510641_0	CHEMBL510641	0.799	0.676	0.124	1.206	0.978	0.229	0.899	0.686	0.213	787.479
CHEMBL583105_0	CHEMBL583105	0.79	0.574	0.216	1.283	0.903	0.38	0.945	0.612	0.333	701.463
CHEMBL510641_1	CHEMBL510641	0.788	0.661	0.128	1.199	0.964	0.235	0.896	0.677	0.218	777.045
CHEMBL510641_2	CHEMBL510641	0.786	0.661	0.125	1.195	0.964	0.231	0.892	0.677	0.215	777.045
CHEMBL1078889_1	CHEMBL1078889	0.785	0.548	0.236	1.021	0.636	0.385	1.179	0.8	0.379	946.531
CHEMBL1087398_0	CHEMBL1087398	0.782	0.574	0.208	1.045	0.674	0.37	1.117	0.794	0.322	936.07
CHEMBL1078889_0	CHEMBL1078889	0.779	0.55	0.229	1.013	0.637	0.376	1.172	0.801	0.37	948.16
CHEMBL412099_0	CHEMBL412099	0.779	0.592	0.187	0.958	0.696	0.262	1.193	0.798	0.395	938.928
CHEMBL257167_0	CHEMBL257167	0.776	0.656	0.119	1.149	0.912	0.237	0.894	0.701	0.194	806.796
CHEMBL1088030_1	CHEMBL1088030	0.764	0.512	0.253	1.039	0.634	0.405	1.128	0.726	0.402	853.972
CHEMBL376885_0	CHEMBL376885	0.764	0.572	0.191	0.969	0.664	0.306	1.145	0.807	0.338	952.347
CHEMBL578974_0	CHEMBL578974	0.761	0.548	0.214	1.305	0.894	0.411	0.894	0.586	0.308	670.454
CHEMBL21156_0	CHEMBL21156	0.76	0.584	0.176	1.014	0.752	0.262	1.072	0.724	0.348	842.58
CHEMBL569957_1	CHEMBL569957	0.756	0.633	0.124	0.911	0.687	0.225	1.106	0.89	0.216	1055.583
CHEMBL232147_1	CHEMBL232147	0.755	0.598	0.157	0.879	0.643	0.236	1.214	0.894	0.32	1066.551
CHEMBL232147_0	CHEMBL232147	0.752	0.596	0.156	0.877	0.642	0.235	1.211	0.892	0.319	1064.15
CHEMBL1078689_0	CHEMBL1078689	0.751	0.55	0.201	0.998	0.649	0.348	1.106	0.783	0.323	924.005
CHEMBL233151_1	CHEMBL233151	0.75	0.584	0.165	0.863	0.619	0.244	1.252	0.913	0.339	1094.125
CHEMBL21156_1	CHEMBL21156	0.749	0.595	0.154	0.994	0.76	0.233	1.043	0.733	0.31	853.314
CHEMBL1087268_1	CHEMBL1087268	0.749	0.581	0.168	0.98	0.68	0.299	1.075	0.798	0.277	940.537
CHEMBL1082023_1	CHEMBL1082023	0.748	0.525	0.222	0.912	0.576	0.336	1.253	0.856	0.396	1026.516
CHEMBL1082023_0	CHEMBL1082023	0.748	0.525	0.222	0.912	0.576	0.336	1.253	0.856	0.397	1026.457
CHEMBL1079690_0	CHEMBL1079690	0.747	0.52	0.227	0.985	0.597	0.389	1.155	0.802	0.353	954.023
CHEMBL570229_0	CHEMBL570229	0.747	0.549	0.198	1.007	0.683	0.324	1.074	0.737	0.337	863.498
CHEMBL604578_0	CHEMBL604578	0.746	0.607	0.139	1.017	0.792	0.225	0.989	0.722	0.267	838.215
CHEMBL1078934_0	CHEMBL1078934	0.74	0.628	0.112	0.91	0.693	0.217	1.058	0.87	0.188	1029.085
CHEMBL1078934_1	CHEMBL1078934	0.74	0.628	0.112	0.909	0.693	0.216	1.057	0.87	0.188	1029.171
CHEMBL1080159_0	CHEMBL1080159	0.74	0.565	0.175	0.871	0.61	0.261	1.231	0.884	0.347	1057.023
CHEMBL568788_0	CHEMBL568788	0.731	0.577	0.154	1.007	0.727	0.28	0.992	0.737	0.255	860.931
CHEMBL520947_2	CHEMBL520947	0.731	0.592	0.139	0.978	0.746	0.233	0.998	0.742	0.255	865.933
CHEMBL520947_1	CHEMBL520947	0.73	0.592	0.138	0.977	0.745	0.232	0.997	0.742	0.255	865.868
CHEMBL520947_0	CHEMBL520947	0.73	0.592	0.138	0.977	0.745	0.232	0.997	0.742	0.255	865.868
CHEMBL233151_0	CHEMBL233151	0.729	0.562	0.167	0.849	0.603	0.246	1.233	0.89	0.342	1066.546
CHEMBL220483_0	CHEMBL220483	0.719	0.496	0.222	0.903	0.576	0.327	1.192	0.783	0.41	931.47
CHEMBL572878_0	CHEMBL572878	0.717	0.536	0.181	0.917	0.621	0.296	1.114	0.796	0.318	943.367
CHEMBL568788_1	CHEMBL568788	0.717	0.565	0.152	0.994	0.717	0.277	0.979	0.727	0.252	849.193
CHEMBL386637_0	CHEMBL386637	0.713	0.516	0.196	0.865	0.573	0.292	1.213	0.839	0.374	1004.109
CHEMBL495727_1	CHEMBL495727	0.708	0.527	0.181	0.93	0.651	0.279	1.076	0.734	0.342	862.416
CHEMBL578194_1	CHEMBL578194	0.702	0.548	0.154	0.951	0.68	0.271	1.0	0.739	0.261	866.211
CHEMBL569957_0	CHEMBL569957	0.698	0.583	0.115	0.863	0.652	0.211	1.048	0.846	0.203	1003.14
CHEMBL1078971_1	CHEMBL1078971	0.693	0.555	0.139	0.891	0.645	0.246	1.04	0.799	0.242	944.14
CHEMBL572878_1	CHEMBL572878	0.691	0.533	0.158	0.882	0.619	0.263	1.077	0.794	0.283	940.496
CHEMBL1078971_0	CHEMBL1078971	0.69	0.565	0.125	0.876	0.653	0.223	1.028	0.808	0.22	955.408
CHEMBL568788_3	CHEMBL568788	0.687	0.527	0.16	0.975	0.685	0.29	0.959	0.695	0.263	811.881
CHEMBL582808_0	CHEMBL582808	0.684	0.489	0.195	0.951	0.614	0.336	1.023	0.705	0.318	829.786
CHEMBL392998_0	CHEMBL392998	0.679	0.519	0.16	0.793	0.559	0.234	1.213	0.878	0.335	1057.736
CHEMBL393375_1	CHEMBL393375	0.679	0.541	0.138	0.788	0.583	0.205	1.177	0.882	0.296	1058.596
CHEMBL391096_0	CHEMBL391096	0.677	0.55	0.127	0.798	0.601	0.197	1.131	0.868	0.264	1037.957
CHEMBL393375_0	CHEMBL393375	0.675	0.533	0.142	0.788	0.578	0.21	1.177	0.873	0.304	1047.9
CHEMBL495727_0	CHEMBL495727	0.669	0.522	0.147	0.88	0.647	0.233	1.015	0.73	0.286	857.262
CHEMBL1078866_1	CHEMBL1078866	0.667	0.53	0.137	0.869	0.626	0.242	1.014	0.775	0.239	916.689
CHEMBL1078866_0	CHEMBL1078866	0.666	0.527	0.139	0.87	0.624	0.246	1.015	0.773	0.242	913.561
CHEMBL1078720_0	CHEMBL1078720	0.666	0.549	0.117	0.84	0.628	0.212	1.021	0.813	0.208	964.771
CHEMBL568788_2	CHEMBL568788	0.665	0.521	0.144	0.944	0.68	0.264	0.93	0.691	0.24	806.175
CHEMBL570002_1	CHEMBL570002	0.665	0.517	0.148	0.937	0.676	0.261	0.942	0.688	0.254	803.568
CHEMBL570002_0	CHEMBL570002	0.664	0.521	0.143	0.933	0.679	0.254	0.938	0.692	0.246	807.748
CHEMBL559626_0	CHEMBL559626	0.66	0.594	0.066	0.793	0.685	0.108	0.964	0.816	0.147	962.667
CHEMBL221959_0	CHEMBL221959	0.659	0.521	0.137	0.978	0.709	0.269	0.883	0.663	0.219	771.199
CHEMBL570192_0	CHEMBL570192	0.658	0.511	0.147	0.927	0.659	0.268	0.94	0.694	0.246	811.789
CHEMBL162_1	CHEMBL162	0.646	0.506	0.14	0.77	0.568	0.202	1.135	0.823	0.312	984.689
CHEMBL1093468_0	CHEMBL1093468	0.642	0.502	0.14	0.773	0.558	0.215	1.12	0.834	0.286	1000.181
CHEMBL1087268_0	CHEMBL1087268	0.641	0.542	0.099	0.833	0.651	0.182	0.943	0.764	0.179	899.949
CHEMBL162_0	CHEMBL162	0.64	0.493	0.146	0.769	0.558	0.21	1.134	0.809	0.325	967.84
CHEMBL570192_1	CHEMBL570192	0.64	0.511	0.128	0.898	0.66	0.238	0.912	0.694	0.218	812.093
CHEMBL1093749_0	CHEMBL1093749	0.635	0.542	0.093	0.781	0.625	0.156	0.99	0.804	0.186	952.742
CHEMBL1087398_1	CHEMBL1087398	0.632	0.504	0.128	0.855	0.62	0.236	0.95	0.73	0.22	860.245
CHEMBL595397_1	CHEMBL595397	0.624	0.503	0.121	0.899	0.697	0.203	0.876	0.644	0.232	747.536
CHEMBL578194_0	CHEMBL578194	0.624	0.486	0.138	0.875	0.628	0.247	0.92	0.683	0.237	800.305
CHEMBL603048_0	CHEMBL603048	0.622	0.546	0.076	0.82	0.691	0.13	0.877	0.722	0.155	844.438
CHEMBL595397_0	CHEMBL595397	0.621	0.525	0.097	0.882	0.717	0.165	0.851	0.662	0.189	768.886
CHEMBL574738_1	CHEMBL574738	0.621	0.522	0.099	0.745	0.577	0.168	1.04	0.848	0.192	1015.148
CHEMBL574738_0	CHEMBL574738	0.619	0.489	0.131	0.768	0.552	0.217	1.058	0.811	0.247	971.621
CHEMBL376885_1	CHEMBL376885	0.618	0.515	0.103	0.798	0.62	0.178	0.95	0.753	0.197	889.207
CHEMBL1092926_0	CHEMBL1092926	0.615	0.49	0.126	0.759	0.561	0.198	1.049	0.794	0.255	948.43
CHEMBL1089833_0	CHEMBL1089833	0.612	0.493	0.119	0.754	0.562	0.192	1.039	0.8	0.238	956.283
CHEMBL231733_0	CHEMBL231733	0.611	0.483	0.127	0.719	0.537	0.182	1.127	0.829	0.298	997.737
CHEMBL535_0	CHEMBL535	0.608	0.55	0.059	0.773	0.668	0.105	0.873	0.756	0.117	888.517
CHEMBL1089773_0	CHEMBL1089773	0.6	0.475	0.125	0.74	0.54	0.201	1.047	0.799	0.247	957.828
CHEMBL604038_1	CHEMBL604038	0.6	0.442	0.157	0.846	0.598	0.248	0.93	0.63	0.3	737.002
CHEMBL584052_1	CHEMBL584052	0.597	0.459	0.138	0.807	0.6	0.207	0.955	0.662	0.293	776.111
CHEMBL1092925_0	CHEMBL1092925	0.59	0.479	0.111	0.709	0.535	0.174	1.054	0.821	0.234	986.702
CHEMBL1089773_1	CHEMBL1089773	0.59	0.47	0.12	0.73	0.535	0.194	1.032	0.793	0.239	949.906
CHEMBL1092925_1	CHEMBL1092925	0.583	0.471	0.112	0.704	0.529	0.176	1.047	0.812	0.235	975.661
CHEMBL233969_1	CHEMBL233969	0.58	0.452	0.128	0.7	0.511	0.19	1.08	0.797	0.283	959.64
CHEMBL1088857_0	CHEMBL1088857	0.579	0.491	0.088	0.709	0.563	0.146	0.974	0.794	0.18	947.543
CHEMBL233969_0	CHEMBL233969	0.578	0.452	0.126	0.698	0.511	0.187	1.076	0.797	0.28	959.497
CHEMBL591096_0	CHEMBL591096	0.574	0.444	0.13	0.805	0.6	0.205	0.894	0.63	0.263	737.358
CHEMBL589633_1	CHEMBL589633	0.568	0.423	0.144	0.771	0.557	0.213	0.946	0.638	0.308	750.21
CHEMBL591096_1	CHEMBL591096	0.553	0.434	0.119	0.78	0.59	0.189	0.863	0.62	0.243	725.442
CHEMBL1088856_0	CHEMBL1088856	0.545	0.432	0.113	0.691	0.51	0.181	0.97	0.738	0.232	882.56
CHEMBL1093191_0	CHEMBL1093191	0.545	0.44	0.105	0.686	0.517	0.169	0.962	0.747	0.215	893.176
CHEMBL1092063_1	CHEMBL1092063	0.542	0.455	0.087	0.648	0.513	0.135	0.995	0.801	0.195	964.028
CHEMBL1092063_0	CHEMBL1092063	0.54	0.454	0.087	0.647	0.512	0.135	0.994	0.799	0.195	962.396
CHEMBL584052_0	CHEMBL584052	0.535	0.402	0.133	0.747	0.547	0.2	0.886	0.603	0.284	707.151
CHEMBL582808_1	CHEMBL582808	0.527	0.448	0.078	0.729	0.579	0.149	0.806	0.665	0.141	781.715
CHEMBL604038_0	CHEMBL604038	0.519	0.425	0.094	0.738	0.581	0.157	0.802	0.613	0.19	716.649
CHEMBL1089833_1	CHEMBL1089833	0.513	0.415	0.099	0.661	0.499	0.162	0.912	0.711	0.201	849.083
CHEMBL589633_0	CHEMBL589633	0.5	0.409	0.091	0.685	0.544	0.141	0.827	0.623	0.204	732.486
CHEMBL1093119_0	CHEMBL1093119	0.499	0.404	0.095	0.621	0.473	0.148	0.946	0.734	0.212	883.808
