Molecule	OriginalName	Hash	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
omega_1370_5_0	omega_1370_5	59af1083e63b609e7d80a2538bb908a1	1.036	0.649	0.387	1.485	0.858	0.628	1.23	0.727	0.503	854.193
omega_260_49_0	omega_260_49	c0e7477e5b0c1703c4f094b95048b2b8	1.036	0.641	0.394	1.435	0.821	0.614	1.27	0.745	0.525	878.017
omega_459_23_0	omega_459_23	6a147e2ccf35556f21852b9c05928d69	1.034	0.635	0.399	1.472	0.829	0.643	1.244	0.731	0.513	859.575
omega_1987_42_0	omega_1987_42	1d0aeef6e58a0b3a3348313abf8e2ec9	1.034	0.667	0.367	1.402	0.8	0.602	1.285	0.8	0.485	947.664
omega_1181_26_0	omega_1181_26	33d4743427ee528dd75aaabaab98ab9c	1.034	0.656	0.378	1.36	0.831	0.53	1.326	0.757	0.569	892.483
omega_1032_29_0	omega_1032_29	8c950d6ec46fe95f54b2efcc552aca95	1.032	0.655	0.377	1.329	0.778	0.551	1.35	0.806	0.544	956.216
omega_855_27_0	omega_855_27	575a31eaa63ac9893d06d31606bb7358	1.03	0.668	0.362	1.343	0.835	0.508	1.327	0.77	0.557	907.493
omega_1540_38_0	omega_1540_38	13655a135a1d5573a45df0077110535d	1.027	0.697	0.331	1.325	0.825	0.5	1.312	0.818	0.494	967.898
omega_891_17_0	omega_891_17	12e7bd551fd64b3c387b44c666b38619	1.026	0.683	0.342	1.385	0.84	0.545	1.265	0.785	0.479	926.549
omega_2096_31_0	omega_2096_31	2a415f1deddc07e93cfa0bcda774b7d6	1.022	0.732	0.29	1.341	0.86	0.481	1.254	0.831	0.423	982.13
omega_752_3_0	omega_752_3	3218ac44d0a08530253b1d14e509f15e	1.021	0.677	0.344	1.383	0.813	0.57	1.266	0.801	0.465	948.028
omega_1462_24_0	omega_1462_24	d208bcbe45e93e81de679319cfbeadd3	1.021	0.61	0.411	1.195	0.736	0.459	1.578	0.782	0.797	928.73
omega_1168_34_0	omega_1168_34	c679fa4debd9ea52986eab917a7c40b9	1.02	0.704	0.316	1.292	0.804	0.488	1.323	0.85	0.472	1010.077
omega_1171_2_0	omega_1171_2	9017ac7ab7d85439e0c27de43ff23876	1.015	0.67	0.345	1.289	0.862	0.427	1.393	0.75	0.643	882.216
omega_575_49_0	omega_575_49	f43bda220e618e826f84cd8fee10ef2a	1.014	0.581	0.433	1.478	0.812	0.666	1.225	0.671	0.553	787.563
omega_1950_7_0	omega_1950_7	132359a14e898e6f5dbad85f6b1166e8	1.014	0.656	0.357	1.368	0.795	0.573	1.277	0.791	0.486	936.001
omega_2103_37_0	omega_2103_37	14798d4fc7df6551d06839ccc18907c0	1.012	0.687	0.325	1.365	0.812	0.553	1.257	0.817	0.441	967.537
omega_525_27_0	omega_525_27	cbbd99a076c946295887e127d882a8de	1.012	0.674	0.338	1.268	0.806	0.462	1.36	0.804	0.556	952.108
omega_279_22_0	omega_279_22	33ac18747e1062b7310cb56f29830992	1.011	0.693	0.318	1.311	0.852	0.459	1.297	0.788	0.509	929.297
omega_2168_2_0	omega_2168_2	5f3c63342b08a334d979e71e873a045e	1.011	0.621	0.39	1.238	0.788	0.45	1.491	0.746	0.745	880.84
omega_432_23_0	omega_432_23	047789a935ffb31f15a1e634ae5a38a7	1.011	0.633	0.378	1.423	0.806	0.618	1.24	0.747	0.493	881.384
omega_148_5_0	omega_148_5	94ce951dc359ef976811e6954b9f94ab	1.009	0.695	0.314	1.33	0.854	0.476	1.27	0.789	0.481	930.488
omega_651_47_0	omega_651_47	663d0b7491adb78329bfc5be645630eb	1.009	0.692	0.317	1.351	0.836	0.515	1.254	0.801	0.453	946.12
omega_735_24_0	omega_735_24	9342be87d5d0b1a50ef5401f8d88a6a0	1.007	0.808	0.199	1.392	0.952	0.44	1.109	0.842	0.267	991.089
omega_1061_3_0	omega_1061_3	0bef899da047e041b6e69ab1d609d8a4	1.007	0.677	0.33	1.298	0.794	0.504	1.31	0.821	0.489	973.521
omega_4_44_0	omega_4_44	5296b9d2d1edf8e641b224492858b9a8	1.005	0.677	0.328	1.464	0.879	0.585	1.174	0.746	0.428	875.919
omega_504_3_0	omega_504_3	7f4e22ca7f65f96975ef89f73aead172	1.004	0.644	0.359	1.352	0.814	0.537	1.275	0.755	0.52	890.758
omega_560_16_0	omega_560_16	263087ccce961ff8dea8c1d9f130c596	1.002	0.63	0.372	1.317	0.797	0.52	1.317	0.751	0.566	886.735
omega_1007_50_0	omega_1007_50	f39d60bbbc1e0a8bd79ce96e1e0c85d3	1.002	0.663	0.339	1.386	0.836	0.551	1.231	0.762	0.468	898.54
omega_1511_2_0	omega_1511_2	9452ad0f54d952ede382579348a0509b	1.001	0.664	0.338	1.354	0.821	0.533	1.256	0.776	0.48	916.135
omega_383_16_0	omega_383_16	25f6e93b1eef20951546d9fae453578d	1.001	0.624	0.378	1.264	0.763	0.501	1.379	0.773	0.606	916.186
omega_717_37_0	omega_717_37	79f576b8f72a96279413c219f8c403f6	0.999	0.643	0.357	1.131	0.773	0.358	1.783	0.792	0.991	939.093
omega_1526_12_0	omega_1526_12	705f4ab86bd588c93d80c36405a3aec9	0.998	0.626	0.372	1.468	0.824	0.644	1.191	0.723	0.468	850.649
omega_1910_42_0	omega_1910_42	dafe1c39181856cf7b35ce44965ba7d8	0.997	0.626	0.372	1.119	0.733	0.386	1.721	0.81	0.911	964.458
omega_1707_40_0	omega_1707_40	b67b039d613bcf330b1819fc3c9091c8	0.997	0.564	0.433	1.368	0.741	0.626	1.286	0.702	0.584	828.972
omega_2014_19_0	omega_2014_19	894f9170a27a20a3abc28b99bf82f8aa	0.997	0.684	0.313	1.467	0.897	0.57	1.152	0.742	0.41	870.161
omega_1394_19_0	omega_1394_19	fac114ce956827387d2c3b592407ada3	0.996	0.719	0.277	1.263	0.844	0.419	1.28	0.829	0.451	980.825
omega_47_4_0	omega_47_4	a6230ec7600a46c26153c52e98817294	0.995	0.596	0.399	1.319	0.783	0.536	1.324	0.714	0.61	841.501
omega_77_20_0	omega_77_20	f01dafe5e2eb5c1cc111175b4c86cd03	0.995	0.597	0.398	1.474	0.794	0.68	1.196	0.706	0.49	831.059
omega_1068_12_0	omega_1068_12	53d906913c89ad53a6903c5115df4535	0.994	0.68	0.314	1.352	0.863	0.489	1.23	0.763	0.467	897.614
omega_785_13_0	omega_785_13	99df9ceaf46947bb31fecab0d6553630	0.994	0.719	0.275	1.314	0.853	0.461	1.226	0.821	0.405	970.38
omega_1151_25_0	omega_1151_25	e797ef32b66541faf8420f608ab05310	0.991	0.577	0.414	1.464	0.836	0.628	1.2	0.651	0.549	761.207
omega_598_39_0	omega_598_39	15b73343d89c705e517cd7aa7b913126	0.991	0.704	0.287	1.239	0.839	0.401	1.317	0.814	0.502	962.791
omega_823_27_0	omega_823_27	376032b4917b38ec61710533b3d5e11c	0.991	0.578	0.413	1.465	0.825	0.64	1.196	0.659	0.537	771.595
omega_702_50_0	omega_702_50	ba75af52e1da09b6c83e0caa9e842d35	0.99	0.666	0.324	1.358	0.834	0.524	1.227	0.768	0.459	905.43
omega_769_11_0	omega_769_11	e1f3776a62f8a5b2109c5c60e7edc860	0.99	0.66	0.33	1.294	0.81	0.484	1.29	0.781	0.51	922.627
omega_807_22_0	omega_807_22	42489638a82927cf2683933c3cfc5bea	0.99	0.678	0.312	1.147	0.795	0.352	1.556	0.821	0.735	973.867
omega_1232_30_0	omega_1232_30	97d8c6f17af10474fa5aeb9c1f561929	0.989	0.578	0.411	1.51	0.837	0.673	1.166	0.652	0.514	762.306
omega_712_42_0	omega_712_42	c889eba90236f2ae7a48dff344071375	0.988	0.67	0.317	1.227	0.773	0.454	1.348	0.834	0.514	991.946
omega_488_8_0	omega_488_8	c88129eb7b11c19574436069a9f1b8fd	0.988	0.624	0.363	1.355	0.805	0.551	1.252	0.736	0.517	866.86
omega_438_1_0	omega_438_1	935dd6f3088d845d303d63d8ab3b7d78	0.986	0.634	0.352	1.268	0.751	0.517	1.327	0.803	0.525	954.225
omega_1615_4_0	omega_1615_4	07544feea17e58e3ac3cbc740a5446b4	0.986	0.57	0.416	1.289	0.711	0.578	1.338	0.741	0.597	879.613
omega_2009_4_0	omega_2009_4	5670b7f3c22b2f846e0f10a792ec90b1	0.985	0.603	0.382	1.404	0.792	0.612	1.22	0.716	0.504	843.284
omega_1716_18_0	omega_1716_18	f322894685ad69d4eb5376bfcbe98559	0.983	0.654	0.33	1.179	0.723	0.455	1.416	0.872	0.544	1044.213
omega_100_13_0	omega_100_13	5e23d900a08030d77c16c7502d160eec	0.983	0.661	0.322	1.266	0.809	0.457	1.305	0.783	0.522	925.756
omega_1422_5_0	omega_1422_5	21a8218c18ad58ee67b499f03d6664a5	0.983	0.59	0.393	1.225	0.773	0.452	1.462	0.713	0.749	841.068
omega_533_13_0	omega_533_13	53d364ddd5f46b3215e88a28b4684ba4	0.982	0.557	0.425	1.533	0.785	0.748	1.153	0.656	0.497	770.299
omega_1580_41_0	omega_1580_41	ed1c5eeed00616ce5b2b098cc711d22b	0.982	0.587	0.395	1.439	0.828	0.611	1.196	0.668	0.528	782.571
omega_1078_10_0	omega_1078_10	111c1410bc079836e1865608360c82a4	0.982	0.678	0.303	1.341	0.866	0.474	1.214	0.758	0.457	890.939
omega_745_12_0	omega_745_12	71e98ae0f82a16e5c168325e7fc43e8f	0.981	0.712	0.27	1.454	0.922	0.533	1.111	0.758	0.353	888.466
omega_751_2_0	omega_751_2	e52a075964c7ab326d1396fd5aa0a32a	0.981	0.593	0.388	1.319	0.731	0.587	1.292	0.758	0.533	899.971
omega_720_4_0	omega_720_4	9c6bf954a5f5a7ab9f164901d654ebd8	0.981	0.626	0.354	1.381	0.822	0.56	1.216	0.725	0.492	852.496
omega_158_2_0	omega_158_2	7dea97cfd70314fa5af5350201245279	0.98	0.63	0.35	1.36	0.781	0.578	1.234	0.765	0.469	904.726
omega_1646_4_0	omega_1646_4	26c88c24efb6ce73e50cabd93f349e3f	0.98	0.646	0.334	1.375	0.848	0.527	1.207	0.731	0.476	858.784
omega_782_4_0	omega_782_4	d862535554966d100191a659195d513e	0.979	0.643	0.336	1.411	0.822	0.589	1.186	0.747	0.439	879.839
omega_1676_38_0	omega_1676_38	5f99bd5a4cc5821ee7bc748dcc2272b1	0.979	0.713	0.265	1.379	0.878	0.501	1.153	0.792	0.361	932.657
omega_1941_15_0	omega_1941_15	46af778dfac7f8892854a7aa5980b110	0.978	0.729	0.248	1.327	0.914	0.413	1.167	0.783	0.384	920.256
omega_190_13_0	omega_190_13	43d8abecb3535d7eb05d65a2534289b2	0.978	0.56	0.417	1.501	0.798	0.703	1.16	0.653	0.506	765.72
omega_487_9_0	omega_487_9	a530695c07043e2e4d42717e4a5b57cd	0.977	0.67	0.307	1.194	0.753	0.441	1.361	0.859	0.502	1024.645
omega_1188_9_0	omega_1188_9	5278acfe85b5c555285566953f7ec8e0	0.975	0.62	0.355	1.537	0.88	0.657	1.113	0.677	0.436	791.902
omega_1441_25_0	omega_1441_25	c9ba35d8d95daa8fe77947488d2e2fb0	0.974	0.581	0.393	1.452	0.762	0.69	1.187	0.71	0.478	837.204
omega_1243_24_0	omega_1243_24	106287b5d2ba3b2e7006cb76248052ec	0.974	0.597	0.378	1.372	0.803	0.569	1.228	0.699	0.529	821.444
omega_949_6_0	omega_949_6	e56fcdc27be11858266085db404003f8	0.973	0.606	0.368	1.495	0.821	0.674	1.145	0.698	0.447	819.586
omega_305_50_0	omega_305_50	3935ffcd532b189a7bb26782d0eee569	0.973	0.692	0.281	1.18	0.784	0.396	1.347	0.856	0.491	1018.302
omega_2124_24_0	omega_2124_24	a16b421826d5c12d451c46d69e37c1d1	0.972	0.8	0.172	1.286	0.951	0.335	1.095	0.834	0.261	980.826
omega_1712_9_0	omega_1712_9	964f29547f94dfe09965969597b4670f	0.972	0.658	0.314	1.555	0.906	0.649	1.084	0.706	0.378	825.319
omega_545_1_0	omega_545_1	92b48b19b14930c1f31ec5ee2bc937f1	0.971	0.59	0.381	1.379	0.771	0.608	1.221	0.715	0.506	843.73
omega_877_48_0	omega_877_48	05adde4c1ed8155687a4a5a4c12e96d3	0.971	0.583	0.388	1.309	0.783	0.526	1.293	0.696	0.597	818.614
omega_1831_39_0	omega_1831_39	2c3c53686558aaab3ce8939f53a01427	0.97	0.581	0.388	1.43	0.8	0.63	1.183	0.68	0.503	798.813
omega_1037_15_0	omega_1037_15	fb4ebba1167588ac2cacaab3cb6957ce	0.969	0.568	0.401	1.401	0.757	0.644	1.21	0.695	0.515	819.064
omega_1863_44_0	omega_1863_44	633bf2a9144ddd63403bda7ff2c41f88	0.968	0.616	0.352	1.405	0.818	0.586	1.183	0.713	0.469	838.848
omega_59_6_0	omega_59_6	4a8fa8d2ba5dd49900c0a94ed517a73f	0.968	0.628	0.34	1.331	0.772	0.559	1.236	0.771	0.465	913.291
omega_1507_15_0	omega_1507_15	119c077423a9f2ce824e7cf50db5fba6	0.967	0.586	0.38	1.484	0.782	0.702	1.154	0.701	0.454	824.733
omega_1391_19_0	omega_1391_19	f7697854476c63467e070d8ec3ebb7b7	0.966	0.646	0.32	1.218	0.801	0.417	1.349	0.769	0.58	908.799
omega_1778_48_0	omega_1778_48	1fc655b4e8da07014aec011e13021dc6	0.966	0.555	0.41	1.387	0.764	0.623	1.216	0.67	0.546	787.955
omega_500_33_0	omega_500_33	f65d8eb44b053e3744355b59c089217c	0.965	0.615	0.349	1.559	0.838	0.721	1.102	0.699	0.404	819.663
omega_1475_23_0	omega_1475_23	3c34016cc13d5760d4edaa834da1e00e	0.965	0.565	0.4	1.405	0.762	0.643	1.2	0.686	0.514	807.297
omega_1358_18_0	omega_1358_18	bd8307409cc621e9a4b89eb57a48a8ca	0.964	0.641	0.323	1.262	0.765	0.498	1.278	0.798	0.48	947.445
omega_1549_11_0	omega_1549_11	0dc068bc460a345a67aba2a8a63aa475	0.964	0.676	0.288	1.408	0.892	0.517	1.131	0.736	0.395	863.177
omega_1258_41_0	omega_1258_41	a3dc9911dd108fcad46906c63ae4b929	0.964	0.597	0.366	1.327	0.765	0.563	1.244	0.732	0.512	864.974
omega_1286_17_0	omega_1286_17	8e21948f66a3f26c8f04335c3b9414a5	0.963	0.612	0.351	1.431	0.846	0.585	1.156	0.688	0.468	806.565
omega_1797_15_0	omega_1797_15	f492e1d59864c9c6749ea856cb077c47	0.962	0.582	0.38	1.182	0.74	0.442	1.464	0.732	0.732	866.394
omega_787_37_0	omega_787_37	827616f3b7f038fef7b2cce9a9b0258b	0.962	0.597	0.365	1.311	0.757	0.554	1.255	0.738	0.518	872.553
omega_342_42_0	omega_342_42	353e12d0376e88ed4db169ecce263f95	0.961	0.581	0.38	1.358	0.768	0.59	1.222	0.705	0.517	830.653
omega_1553_1_0	omega_1553_1	15a860c9632f53aa5f9d174aabe57997	0.961	0.633	0.328	1.238	0.761	0.477	1.303	0.79	0.513	936.937
omega_1656_12_0	omega_1656_12	918bd05be73a69ab23af0d3ccfa889e9	0.961	0.7	0.261	1.193	0.823	0.37	1.293	0.824	0.47	975.348
omega_1222_30_0	omega_1222_30	fc5b19f3d2e440861e4f1c67c01835b1	0.961	0.677	0.284	1.403	0.905	0.498	1.127	0.728	0.398	853.102
omega_440_20_0	omega_440_20	c05dd80936e16903da4609bf86b979bd	0.961	0.691	0.27	1.224	0.79	0.434	1.263	0.847	0.416	1007.435
omega_1734_39_0	omega_1734_39	23b060b1539cc68924bbaf1714ac804c	0.961	0.658	0.303	1.367	0.812	0.555	1.176	0.776	0.399	917.137
omega_149_10_0	omega_149_10	3111398eeae298a323b8e1a8d1ea98c6	0.961	0.615	0.346	1.293	0.794	0.499	1.261	0.731	0.53	861.93
omega_1450_22_0	omega_1450_22	0e93c3e02453c25a50c98fe1d5380208	0.959	0.583	0.376	1.35	0.758	0.592	1.223	0.717	0.507	846.117
omega_1943_40_0	omega_1943_40	add6984c84e87298773e58a033db0f8b	0.958	0.584	0.375	1.353	0.78	0.573	1.219	0.699	0.52	822.61
omega_1433_24_0	omega_1433_24	34ab91eb2d0d757442f857a131659711	0.958	0.537	0.421	1.577	0.773	0.804	1.106	0.637	0.469	747.096
omega_2133_1_0	omega_2133_1	7d719a0becaa337af3b78fe0f08331a0	0.958	0.635	0.322	1.288	0.806	0.482	1.244	0.75	0.494	884.609
omega_912_14_0	omega_912_14	91108ef9c4cd291e618b6691075b08f4	0.957	0.59	0.368	1.301	0.846	0.455	1.318	0.66	0.658	772.476
omega_52_50_0	omega_52_50	310d0f4732ff4ef6f1e4949da4752f95	0.957	0.591	0.367	1.349	0.775	0.574	1.216	0.713	0.504	840.471
omega_1874_6_0	omega_1874_6	52010d13f4ded0b2b51f8974395e0865	0.957	0.588	0.369	1.354	0.782	0.572	1.212	0.703	0.509	828.384
omega_805_42_0	omega_805_42	6ff44ee947f9b44f8ef0e2e2b398e9cc	0.957	0.653	0.304	1.42	0.895	0.525	1.126	0.707	0.419	827.374
omega_1420_38_0	omega_1420_38	02330d0408c319b348601acd8dba79b2	0.956	0.566	0.39	1.477	0.808	0.67	1.138	0.654	0.483	766.741
omega_1740_29_0	omega_1740_29	217913f59d6a04f56fbacf1a37850461	0.956	0.548	0.408	1.176	0.665	0.511	1.425	0.757	0.668	903.584
omega_1703_21_0	omega_1703_21	e2d727b65159af73bde6482eaef51ad1	0.955	0.619	0.336	1.19	0.704	0.486	1.358	0.837	0.521	1001.293
omega_390_2_0	omega_390_2	3f684c345229422c867534c2226116c4	0.954	0.585	0.369	1.412	0.805	0.607	1.167	0.682	0.485	800.696
omega_838_17_0	omega_838_17	05c2b48514747a060379bbfc84bc20de	0.954	0.669	0.285	1.22	0.812	0.409	1.277	0.792	0.485	936.425
omega_1293_38_0	omega_1293_38	c6958a117e78b96e6f10abb48c53e821	0.953	0.624	0.329	1.189	0.75	0.439	1.355	0.788	0.568	935.257
omega_1671_17_0	omega_1671_17	839e3e2fb8f14d3659630c90205a7d9e	0.953	0.59	0.363	1.174	0.702	0.473	1.397	0.787	0.61	938.573
omega_1263_21_0	omega_1263_21	1a34d9dff74bf6e7ff76f7dacef29e64	0.952	0.683	0.269	1.356	0.87	0.485	1.137	0.761	0.377	894.292
omega_742_31_0	omega_742_31	adc6002a51ed95d7c3de09a4939b8831	0.952	0.545	0.408	1.427	0.722	0.704	1.181	0.689	0.492	814.107
omega_1917_43_0	omega_1917_43	9aa2e7e2eca4120b079a89686a4e80e4	0.952	0.57	0.382	1.264	0.729	0.535	1.296	0.724	0.572	856.402
omega_1129_6_0	omega_1129_6	360c4af1bfe4ceb17b8ae6f304819362	0.952	0.579	0.373	1.533	0.837	0.696	1.098	0.652	0.446	762.904
omega_900_13_0	omega_900_13	4d90282432f76d2157baadd5e451c9ba	0.951	0.582	0.37	1.524	0.792	0.732	1.114	0.687	0.427	807.267
omega_1055_12_0	omega_1055_12	8b082ef4109f73490b9ab3def63a5ed1	0.95	0.549	0.402	1.531	0.831	0.7	1.103	0.618	0.485	721.313
omega_884_19_0	omega_884_19	981876e94a73d6d4ac8b2312d3a16311	0.95	0.558	0.392	1.3	0.723	0.577	1.26	0.71	0.55	840.18
omega_1533_1_0	omega_1533_1	66eb5cb36f7864e8631f4353631c1e2c	0.949	0.696	0.253	1.164	0.809	0.355	1.3	0.832	0.468	986.822
omega_509_1_0	omega_509_1	f987d4db931f3fea7d81a01c6539a51d	0.948	0.606	0.341	1.401	0.847	0.553	1.152	0.681	0.471	797.334
omega_763_9_0	omega_763_9	4253de5a4319964a8ee555147b690f54	0.947	0.651	0.296	1.232	0.782	0.449	1.261	0.795	0.466	942.175
omega_1273_47_0	omega_1273_47	bbd3de14d0f1d9fdd0537824f036fce8	0.944	0.59	0.355	1.244	0.817	0.427	1.356	0.68	0.676	797.308
omega_1677_21_0	omega_1677_21	325b200e60152b31ad81f218276bcdaf	0.944	0.582	0.362	1.319	0.743	0.576	1.222	0.729	0.493	862.013
omega_1346_7_0	omega_1346_7	7d2c786d603e7250a393e7787462f092	0.943	0.533	0.411	1.267	0.782	0.484	1.356	0.625	0.731	732.078
omega_1040_26_0	omega_1040_26	92f8dd283f8d6fdf686c09711e054e65	0.943	0.592	0.351	1.456	0.836	0.62	1.118	0.67	0.448	784.692
omega_1185_6_0	omega_1185_6	bc2fd5f9bed348ee8e1083de191235fa	0.943	0.661	0.283	1.292	0.807	0.485	1.188	0.784	0.404	927.348
omega_1891_2_0	omega_1891_2	40a0006570006e98b46c8e429cf448a1	0.943	0.574	0.369	1.188	0.751	0.437	1.414	0.709	0.705	836.693
omega_543_48_0	omega_543_48	b7200791c4570e8cedab89117cbdeaa0	0.943	0.582	0.361	1.404	0.784	0.62	1.157	0.693	0.464	814.981
omega_1699_31_0	omega_1699_31	426272e4e36d42df2ddea7d25956da28	0.943	0.636	0.307	1.259	0.805	0.454	1.239	0.752	0.487	887.237
omega_1753_25_0	omega_1753_25	d34dbc277e9e78575af6efa1a6af4afe	0.943	0.608	0.335	1.324	0.824	0.5	1.202	0.699	0.503	820.671
omega_1311_8_0	omega_1311_8	e9fadefe69018f1435e18767967001c1	0.942	0.64	0.302	1.589	0.895	0.694	1.041	0.692	0.349	809.001
omega_42_29_0	omega_42_29	a2393098f9a19832899fe4488f967032	0.942	0.573	0.369	1.282	0.754	0.528	1.256	0.705	0.551	832.01
omega_1767_25_0	omega_1767_25	b550f4974704b1e6a1820719e7d01c8a	0.942	0.633	0.309	1.301	0.83	0.471	1.201	0.727	0.474	855.013
omega_722_25_0	omega_722_25	5592cc69f17ea4893af780828b5dd8c1	0.942	0.681	0.261	1.326	0.873	0.453	1.137	0.756	0.381	888.017
omega_561_47_0	omega_561_47	e9b6ca7e792477ebce7a245f6562a6ea	0.942	0.63	0.312	1.294	0.78	0.514	1.209	0.766	0.443	906.475
omega_1870_3_0	omega_1870_3	b10f1ee40a99e12933a94e251d6baec1	0.941	0.549	0.392	1.494	0.792	0.701	1.112	0.641	0.471	751.205
omega_588_3_0	omega_588_3	be1765fec04f7288b70df9c417328224	0.941	0.631	0.31	1.286	0.789	0.498	1.21	0.759	0.451	897.093
omega_2193_48_0	omega_2193_48	8bb677a378d618672a1b775d56acfe57	0.94	0.615	0.325	1.271	0.803	0.467	1.241	0.724	0.516	853.158
