Molecule	OriginalName	Hash	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
omega_3159_23_0	omega_3159_23	3047453429cdb93fdf7278eb5d87bbd6	1.078	0.717	0.361	1.482	0.888	0.595	1.268	0.788	0.48	1004.482
omega_3437_16_0	omega_3437_16	5bd7b720663748a7c40bbf85b773082c	1.078	0.661	0.416	1.591	0.882	0.708	1.228	0.725	0.503	920.583
omega_383_21_0	omega_383_21	9cdc713b9bd138fabcd9df917518c380	1.076	0.764	0.312	1.267	0.789	0.477	1.433	0.96	0.473	1245.701
omega_1876_34_0	omega_1876_34	5f595a33bc6edf467496c0843c6590f1	1.073	0.713	0.361	1.532	0.911	0.621	1.229	0.766	0.463	973.352
omega_1456_40_0	omega_1456_40	b81ff267fd1d18c74c8212144f5f6469	1.07	0.7	0.37	1.3	0.748	0.551	1.444	0.915	0.529	1187.978
omega_2902_27_0	omega_2902_27	720043dba99ad2b89f002f7720eeaea5	1.068	0.722	0.346	1.486	0.896	0.59	1.243	0.788	0.455	1003.285
omega_534_22_0	omega_534_22	61a4abd892b20f46191b84aa47ee3f08	1.066	0.666	0.4	1.486	0.859	0.627	1.273	0.748	0.525	951.818
omega_1672_25_0	omega_1672_25	b7d014aa2bfb483ab9fbca567398effb	1.064	0.736	0.328	1.528	0.843	0.684	1.24	0.853	0.387	1093.832
omega_526_27_0	omega_526_27	21a5035d9fecac08cc049c9cd357e3fc	1.062	0.724	0.338	1.509	0.872	0.637	1.228	0.81	0.418	1034.714
omega_403_2_0	omega_403_2	0a690e689d62ab6a5c53edd592662f84	1.06	0.818	0.242	1.379	0.933	0.446	1.216	0.869	0.347	1109.883
omega_465_50_0	omega_465_50	19acd7496a70b546f63dc79e77d4ce34	1.056	0.745	0.311	1.498	0.895	0.603	1.207	0.817	0.39	1042.323
omega_1563_5_0	omega_1563_5	efe0a2274c02d6c2e7d7368c992c4324	1.051	0.718	0.332	1.509	0.912	0.596	1.201	0.772	0.429	980.998
omega_1724_13_0	omega_1724_13	80e6186fc37bf5cf85c5d47375260e20	1.047	0.691	0.357	1.542	0.873	0.67	1.201	0.768	0.433	978.239
omega_1525_9_0	omega_1525_9	d00cb200c9e49f9ef259b39cd97d8156	1.047	0.67	0.377	1.61	0.926	0.684	1.165	0.708	0.457	895.863
omega_624_4_0	omega_624_4	f2fbebe4968f6bb9155f5ab32a51b4a9	1.046	0.687	0.359	1.4	0.853	0.547	1.289	0.779	0.51	994.383
omega_3228_22_0	omega_3228_22	1fa5db4da0593ea3ce6e266da746e7ae	1.038	0.682	0.356	1.459	0.877	0.582	1.233	0.754	0.479	959.082
omega_2964_5_0	omega_2964_5	59a4793c794a8297cb9095310b49f81d	1.036	0.614	0.422	1.666	0.933	0.733	1.141	0.642	0.499	809.133
omega_125_12_0	omega_125_12	9e36d76807a241c7310223488125a85f	1.034	0.743	0.291	1.348	0.861	0.487	1.264	0.845	0.42	1081.714
omega_1353_7_0	omega_1353_7	e5f6b2295aed869a7b2aa9a7d0fc30f9	1.033	0.71	0.324	1.546	0.916	0.63	1.159	0.759	0.4	963.729
omega_183_50_0	omega_183_50	064f4639b78b02671f42ced2c9d385a1	1.031	0.698	0.333	1.721	0.943	0.777	1.097	0.728	0.368	921.842
omega_2383_11_0	omega_2383_11	dbf21cadb185f3db90ecfb91e3e3c47c	1.031	0.717	0.313	1.505	0.912	0.594	1.17	0.771	0.399	979.785
omega_947_47_0	omega_947_47	a8f0163485adbcef9ef95e609539514a	1.03	0.735	0.295	1.365	0.816	0.549	1.271	0.881	0.389	1134.697
omega_2725_3_0	omega_2725_3	1ab511676e9c7364f860ba99e6437113	1.027	0.655	0.373	1.565	0.873	0.692	1.171	0.723	0.447	918.608
omega_2375_2_0	omega_2375_2	e25ec8a26ac235ecd3df02cd1f8f4b75	1.025	0.708	0.317	1.498	0.888	0.61	1.175	0.777	0.397	989.614
omega_3411_2_0	omega_3411_2	439ffd8965cd76bf05354ef73603dce8	1.024	0.737	0.287	1.353	0.865	0.487	1.244	0.833	0.411	1065.88
omega_1516_2_0	omega_1516_2	2088e9f2b8a59714c9f4d38acbc56768	1.021	0.68	0.342	1.538	0.894	0.644	1.16	0.739	0.421	938.374
omega_1033_9_0	omega_1033_9	d6ef5c87f1b0d4519532bb8818783292	1.02	0.658	0.362	1.773	1.013	0.76	1.061	0.652	0.409	819.775
omega_1532_1_0	omega_1532_1	9bb00ad248a94b5579aabc3f44c0d998	1.018	0.634	0.384	1.785	0.991	0.794	1.065	0.638	0.427	801.604
omega_3286_27_0	omega_3286_27	ed9d782dd0cdf649932f4cb6aa648eb8	1.017	0.655	0.362	1.59	0.869	0.721	1.147	0.727	0.421	923.084
omega_3453_3_0	omega_3453_3	e99c37315e8421bab4d4a2871388c455	1.013	0.776	0.236	1.4	0.93	0.47	1.146	0.824	0.322	1050.266
omega_2895_44_0	omega_2895_44	6dcb19425614c4e09e8258d90311126f	1.012	0.681	0.331	1.506	0.893	0.614	1.16	0.742	0.418	942.749
omega_2836_2_0	omega_2836_2	e1a1b96e832bd4fd2dc48d545ba8067c	1.012	0.627	0.384	1.459	0.801	0.658	1.223	0.743	0.48	949.14
omega_1470_3_0	omega_1470_3	8dc0d0d61c0a27db172b363ec4775a34	1.011	0.686	0.325	1.503	0.885	0.618	1.16	0.754	0.407	958.112
omega_2662_10_0	omega_2662_10	56a7e3cb3f60802c2a1c5b4d645bbad4	1.01	0.666	0.345	1.668	0.935	0.733	1.092	0.698	0.394	882.274
omega_2536_15_0	omega_2536_15	5222a7c5814b16932e674e745cde13f3	1.009	0.642	0.366	1.527	0.848	0.679	1.169	0.726	0.443	923.344
omega_67_1_0	omega_67_1	d6ef5d7fe53a65fcf342036ff619ae50	1.008	0.718	0.29	1.621	0.963	0.658	1.08	0.738	0.342	934.491
omega_972_18_0	omega_972_18	83a04edbd4b21257c1ee78fc5049f6d8	1.008	0.707	0.301	1.354	0.804	0.55	1.254	0.855	0.4	1099.26
omega_3460_19_0	omega_3460_19	1a27c5d571a70a5f8036c9a5589bf41f	1.008	0.71	0.298	1.468	0.915	0.553	1.152	0.76	0.392	965.212
omega_2929_44_0	omega_2929_44	789f8bda12ad1f8e13916b15dd4849db	1.007	0.712	0.295	1.486	0.91	0.576	1.143	0.766	0.377	973.471
omega_2307_8_0	omega_2307_8	b34bcab3e13b52fbdc16d3a16ad763b9	1.007	0.708	0.299	1.424	0.891	0.532	1.18	0.774	0.406	985.3
omega_2164_16_0	omega_2164_16	4b7fd94d0e4ff26003b2c9a20c37ad34	1.005	0.717	0.288	1.495	0.926	0.569	1.128	0.761	0.368	965.36
omega_2760_20_0	omega_2760_20	5f79df9e6ef4bb246b7f951ee0f66d38	1.003	0.678	0.325	1.621	0.903	0.719	1.104	0.731	0.373	927.493
omega_11_4_0	omega_11_4	25d1d3f2aa70d2b5e0d6492eaadcac6b	1.002	0.618	0.384	1.441	0.784	0.657	1.226	0.745	0.481	952.813
omega_2702_3_0	omega_2702_3	737e6dc693a21bac65740a53d8c174d5	1.001	0.661	0.34	1.345	0.8	0.545	1.267	0.792	0.475	1014.58
omega_431_31_0	omega_431_31	b4bb2d7e52ecb3c10e59d7ddf3218954	1.0	0.691	0.309	1.388	0.849	0.539	1.208	0.788	0.42	1005.702
omega_3206_2_0	omega_3206_2	2bf7bbbab63998b736b58736d1841c65	1.0	0.647	0.352	1.456	0.834	0.622	1.191	0.743	0.448	946.908
omega_268_43_0	omega_268_43	74e1fd8ae1ebd221a4206d12977278fa	0.999	0.665	0.334	1.358	0.807	0.551	1.25	0.791	0.459	1012.532
omega_2174_2_0	omega_2174_2	5a121f9f64af3c8737de6c522dd07cb9	0.999	0.61	0.389	1.586	0.826	0.761	1.144	0.7	0.444	890.206
omega_767_4_0	omega_767_4	b39e5a11055857eff589615ece06b85e	0.999	0.648	0.351	1.642	0.909	0.733	1.095	0.692	0.403	876.07
omega_3087_33_0	omega_3087_33	4b2f1182b99d76bb6bef57b0f8746776	0.998	0.72	0.278	1.476	0.891	0.586	1.136	0.79	0.346	1006.142
omega_2056_11_0	omega_2056_11	5d4cb8e5a483e8ecaed668fa9dc75e73	0.997	0.731	0.266	1.369	0.883	0.487	1.18	0.809	0.371	1032.765
omega_816_23_0	omega_816_23	cdc92db4d55080c8d0da380c635a6d43	0.996	0.752	0.243	1.329	0.886	0.443	1.184	0.833	0.351	1064.119
omega_2391_5_0	omega_2391_5	87fcfc1a4a084dc0a51d4d0191b0adda	0.996	0.701	0.295	1.45	0.906	0.545	1.147	0.756	0.392	959.774
omega_2990_46_0	omega_2990_46	452085ed7d2399412e76bdf65f2b3ecf	0.995	0.734	0.261	1.353	0.865	0.488	1.189	0.829	0.36	1060.531
omega_845_24_0	omega_845_24	63b3b117334eb9930d119b407d569a4d	0.995	0.651	0.344	1.411	0.835	0.576	1.207	0.747	0.46	951.668
omega_905_33_0	omega_905_33	0e12e8f43c8252ecce4848d756dfebc3	0.994	0.719	0.276	1.434	0.91	0.524	1.141	0.773	0.368	983.055
omega_1616_28_0	omega_1616_28	a87c84fa425d95a0a2ac8dc987e0073e	0.994	0.707	0.286	1.307	0.86	0.446	1.243	0.799	0.444	1020.298
omega_2392_13_0	omega_2392_13	b9241e690fcd09fb34eea8ce2f472dab	0.993	0.626	0.367	1.475	0.792	0.684	1.192	0.75	0.442	958.864
omega_2992_44_0	omega_2992_44	f4ee883aceaef2a2e5b0da80906e0956	0.992	0.585	0.407	1.455	0.802	0.653	1.203	0.684	0.519	869.623
omega_1313_18_0	omega_1313_18	e330cdb181042622bd705b22226d51d9	0.991	0.63	0.36	1.46	0.878	0.581	1.177	0.691	0.486	875.048
omega_1883_11_0	omega_1883_11	758223879f6dd230d3a9e56aa4198f23	0.991	0.693	0.297	1.359	0.845	0.514	1.208	0.794	0.414	1014.379
omega_461_29_0	omega_461_29	1c8b006d5d84d1d28e20209e017cadec	0.99	0.67	0.32	1.566	0.963	0.603	1.093	0.687	0.406	867.258
omega_577_1_0	omega_577_1	c00edba08b238c106a458503302ce5d7	0.99	0.701	0.289	1.56	0.904	0.656	1.098	0.757	0.341	961.781
omega_2832_44_0	omega_2832_44	024d3363add88a0e453fba0539b62ea8	0.989	0.628	0.361	1.432	0.793	0.639	1.204	0.751	0.453	959.66
omega_2752_1_0	omega_2752_1	7c717166786c44772677cb60c66e2402	0.987	0.662	0.326	1.519	0.905	0.614	1.12	0.711	0.409	900.374
omega_3325_27_0	omega_3325_27	f8d6d190ce73503f663e3858add275b9	0.987	0.626	0.36	1.645	0.887	0.757	1.088	0.68	0.407	861.106
omega_2158_31_0	omega_2158_31	d262928bc29e447a2e2050c0aa1c91b6	0.986	0.685	0.301	1.409	0.848	0.561	1.175	0.781	0.394	996.917
omega_2004_9_0	omega_2004_9	fabbb6daa42865a9c843d351d199f1d6	0.984	0.656	0.328	1.458	0.867	0.591	1.153	0.729	0.424	926.339
omega_2381_42_0	omega_2381_42	765618c592f2694d8501ae0927d40807	0.983	0.696	0.287	1.502	0.9	0.602	1.108	0.755	0.354	958.944
omega_60_1_0	omega_60_1	bc69777f83d407c1d184752a904325bc	0.983	0.657	0.326	1.425	0.821	0.604	1.181	0.766	0.415	978.424
omega_181_17_0	omega_181_17	05e12e7459c2aad043693c356ec47194	0.982	0.684	0.298	1.364	0.845	0.519	1.193	0.782	0.411	997.742
omega_1507_33_0	omega_1507_33	7894794405d423bcbadba404956772ce	0.981	0.698	0.283	1.509	0.864	0.645	1.119	0.784	0.335	999.703
omega_2192_24_0	omega_2192_24	0b93410ae26c332594ef45e44974582c	0.981	0.72	0.261	1.387	0.894	0.493	1.143	0.787	0.357	1002.028
omega_1143_14_0	omega_1143_14	8239da9658d7768b9f5f22aaab164743	0.981	0.745	0.236	1.432	0.924	0.508	1.099	0.794	0.305	1009.753
omega_288_46_0	omega_288_46	b87a715695cc27cb00a2bce90c39af7f	0.979	0.687	0.293	1.477	0.901	0.576	1.116	0.742	0.373	942.561
omega_291_14_0	omega_291_14	eabbe9e056230496e86c523b448be154	0.979	0.67	0.309	1.504	0.863	0.641	1.123	0.75	0.374	954.024
omega_1907_6_0	omega_1907_6	1525f4ab87f21e41902f6f8b0e4046c7	0.979	0.7	0.279	1.376	0.854	0.521	1.17	0.795	0.375	1015.186
omega_3194_26_0	omega_3194_26	90cbb78fc5a11ea09e59270182950aef	0.979	0.642	0.337	1.546	0.828	0.718	1.129	0.741	0.388	944.083
omega_2552_6_0	omega_2552_6	7032a69949322d0de851c2e7b0ee42f2	0.978	0.636	0.342	1.492	0.847	0.645	1.14	0.718	0.422	913.102
omega_2530_22_0	omega_2530_22	58af9b1960bd9c89d7d80f2d211102ca	0.978	0.672	0.306	1.298	0.793	0.504	1.252	0.815	0.437	1046.323
omega_189_5_0	omega_189_5	5ee33ae60db15f12f9b93407be7d8876	0.977	0.658	0.319	1.343	0.801	0.543	1.224	0.787	0.437	1008.243
omega_2963_47_0	omega_2963_47	ee69920b6629c2163e2629af6838e75c	0.977	0.715	0.263	1.372	0.973	0.399	1.164	0.729	0.435	921.692
omega_3269_27_0	omega_3269_27	c6f8bd31bbb5a8e1a039c3665cbdda7d	0.977	0.645	0.332	1.403	0.852	0.551	1.181	0.727	0.454	924.126
omega_1774_1_0	omega_1774_1	b34ffbdd4cbef1d30f7146e43f92fd76	0.977	0.679	0.298	1.486	0.865	0.622	1.123	0.76	0.364	967.212
omega_2173_15_0	omega_2173_15	653eaefefeaf1f797e8ef103b963a9e5	0.976	0.688	0.288	1.406	0.847	0.558	1.159	0.785	0.374	1002.448
omega_2064_18_0	omega_2064_18	dc45a29d9805e9fbbf1a589e1afd57c0	0.976	0.625	0.351	1.441	0.82	0.621	1.171	0.724	0.447	921.497
omega_105_6_0	omega_105_6	3ec66c656fb79eba7e9d9e388c06cd22	0.976	0.714	0.262	1.398	0.873	0.525	1.14	0.797	0.343	1016.431
omega_2161_26_0	omega_2161_26	6d319907364c6f27eca8a88686976b98	0.976	0.673	0.303	1.289	0.828	0.461	1.251	0.782	0.468	999.59
omega_3358_1_0	omega_3358_1	71b0b62f251f939ec7154fbb4d37e9b0	0.975	0.714	0.261	1.334	0.865	0.469	1.175	0.803	0.372	1025.709
omega_3080_44_0	omega_3080_44	978f95e5cf5ac8a90540f0b58d030f0d	0.974	0.718	0.256	1.303	0.854	0.45	1.192	0.819	0.373	1047.764
omega_275_15_0	omega_275_15	6c9bc3430dd96ec9b5e1420a9d5e432c	0.974	0.724	0.25	1.358	0.895	0.463	1.143	0.79	0.353	1006.704
omega_2991_26_0	omega_2991_26	be27672cb87af5acc24962b752068b3c	0.974	0.714	0.26	1.44	0.885	0.555	1.116	0.788	0.328	1003.622
omega_23_37_0	omega_23_37	53ba724a1707cad7ffd1b2f490d17cff	0.973	0.73	0.243	1.348	0.907	0.441	1.141	0.789	0.351	1004.698
omega_641_2_0	omega_641_2	cf88f3ea127f64dc75299b0a06a92b06	0.973	0.665	0.308	1.195	0.762	0.433	1.356	0.839	0.517	1081.86
omega_1873_4_0	omega_1873_4	7cacd13baf16c8192eec4510a40a7595	0.973	0.659	0.314	1.542	0.843	0.699	1.115	0.751	0.363	957.37
omega_1405_1_0	omega_1405_1	d6cace7662c21d14335310c9041f44b4	0.973	0.685	0.288	1.413	0.886	0.527	1.14	0.752	0.389	955.325
omega_3448_4_0	omega_3448_4	dae2f930a0fd2d0fa91721350ae57cbc	0.973	0.67	0.303	1.587	0.922	0.664	1.068	0.71	0.357	898.996
omega_1958_48_0	omega_1958_48	28c2591edf8670f5bbfd1a9e77b42096	0.972	0.704	0.268	1.47	0.897	0.573	1.101	0.767	0.334	974.803
omega_2609_48_0	omega_2609_48	523a4e729b83a308a522158802f45348	0.972	0.722	0.25	1.45	0.964	0.486	1.082	0.742	0.341	938.968
omega_2851_1_0	omega_2851_1	6bc7c3a34a9b60edd02c0c4046949633	0.971	0.739	0.233	1.465	0.926	0.54	1.076	0.785	0.29	998.416
omega_2436_12_0	omega_2436_12	29408601dbd28230ef1e04bf6da8c7f3	0.971	0.657	0.315	1.407	0.85	0.557	1.162	0.742	0.42	945.111
omega_1851_10_0	omega_1851_10	e0289bc5a36b86e1bc21e7be0e83de57	0.97	0.678	0.293	1.414	0.844	0.571	1.15	0.775	0.375	989.25
omega_1361_2_0	omega_1361_2	a56b81fd9d43d0629856b74fa2c12ded	0.97	0.716	0.253	1.468	0.947	0.521	1.077	0.746	0.33	945.687
omega_1901_47_0	omega_1901_47	a246381aa3b64adde96ca162787cc3f9	0.969	0.584	0.386	1.505	0.75	0.755	1.166	0.725	0.441	926.981
omega_980_40_0	omega_980_40	f7e60c7064104e767f6a4c8fe0d88eb6	0.969	0.669	0.3	1.622	0.947	0.675	1.046	0.695	0.351	877.891
omega_530_31_0	omega_530_31	e0e8e3fdfd5fd40de1094c057f20026f	0.969	0.738	0.231	1.421	0.891	0.531	1.102	0.811	0.291	1034.495
omega_1320_1_0	omega_1320_1	b25e2535058c21d4be2b0f98127238be	0.967	0.678	0.289	1.343	0.881	0.462	1.183	0.747	0.436	949.304
omega_2468_29_0	omega_2468_29	db26ad34c79150a311c7583867ef3e15	0.967	0.723	0.244	1.253	0.783	0.47	1.241	0.904	0.337	1169.305
omega_621_42_0	omega_621_42	fff02d1769986b649e286ff89a0b815e	0.966	0.686	0.28	1.267	0.814	0.452	1.238	0.814	0.424	1042.791
omega_481_34_0	omega_481_34	f2c7dfb5628717397c581fd8030a3cc2	0.966	0.712	0.255	1.37	0.881	0.489	1.134	0.787	0.347	1003.203
omega_1779_13_0	omega_1779_13	9edcd072e6c8db81a528ebdac0ac366a	0.965	0.645	0.32	1.37	0.814	0.556	1.186	0.757	0.429	966.274
omega_3147_24_0	omega_3147_24	15a82a5b3d47b1ce94ac6f56ac488661	0.965	0.735	0.23	1.283	0.879	0.404	1.166	0.818	0.348	1043.942
omega_2233_18_0	omega_2233_18	ac4dbee9a3f2ae4e854a0ffb5a1d721f	0.965	0.733	0.232	1.309	0.884	0.425	1.149	0.811	0.338	1034.587
omega_2467_44_0	omega_2467_44	7bc78e456fbd17e11ccb738e8e5b8bb4	0.963	0.732	0.231	1.362	0.905	0.458	1.112	0.793	0.319	1009.784
omega_1801_11_0	omega_1801_11	8c0a776b489aba4f9b8043c8fa36a173	0.963	0.676	0.287	1.396	0.834	0.562	1.151	0.781	0.37	998.142
omega_1872_41_0	omega_1872_41	50fd32a0ea158fa126eb39d02f3cb777	0.963	0.707	0.256	1.384	0.897	0.487	1.12	0.769	0.351	978.508
omega_3072_4_0	omega_3072_4	9a825eb32129ccb35de07b1007de8183	0.963	0.694	0.269	1.423	0.848	0.575	1.128	0.793	0.335	1012.701
omega_1580_18_0	omega_1580_18	e21b2a0dd4eafa50aa86473aba4c7d01	0.961	0.649	0.312	1.623	0.943	0.68	1.041	0.675	0.366	852.094
omega_3383_46_0	omega_3383_46	d6bfc87d6a987bc13f0241e2f237817d	0.961	0.639	0.322	1.364	0.821	0.544	1.184	0.742	0.442	946.08
omega_35_1_0	omega_35_1	4627e9bc254947678217f80e008bfa39	0.96	0.693	0.267	1.237	0.807	0.43	1.245	0.83	0.415	1066.168
omega_1113_28_0	omega_1113_28	a91150f44983f85145417aa260a0dac3	0.96	0.619	0.341	1.209	0.729	0.48	1.345	0.805	0.54	1037.666
omega_827_7_0	omega_827_7	b424131dae227a4a3174d0f68b3691f7	0.96	0.71	0.25	1.435	0.902	0.533	1.089	0.769	0.32	977.512
omega_1762_16_0	omega_1762_16	539c5328aba2d7d1f42c67d7e6a2bbad	0.96	0.666	0.294	1.357	0.847	0.51	1.167	0.757	0.41	964.705
omega_1245_6_0	omega_1245_6	b5ff5f8471841849d20e2b0df3b112df	0.96	0.696	0.264	1.322	0.857	0.464	1.166	0.787	0.379	1004.593
omega_1714_1_0	omega_1714_1	07e25506f4f5fd4b597bbedfdfc0e5c5	0.96	0.692	0.267	1.245	0.825	0.42	1.235	0.811	0.423	1038.95
omega_1923_15_0	omega_1923_15	a778b55222ea623f6f2141e4959b3960	0.959	0.641	0.318	1.452	0.859	0.594	1.123	0.716	0.407	910.024
omega_2461_5_0	omega_2461_5	6399995be622364e16816a350d9971a3	0.959	0.661	0.299	1.433	0.858	0.575	1.125	0.741	0.383	943.195
omega_753_26_0	omega_753_26	e88a3af7e1a7b6a2cd258a4e472be937	0.959	0.698	0.261	1.42	0.896	0.524	1.101	0.759	0.342	964.9
omega_2881_10_0	omega_2881_10	7cd2bff112079dd7f8633beb27cc2715	0.958	0.632	0.326	1.438	0.812	0.626	1.146	0.741	0.405	945.249
omega_388_11_0	omega_388_11	f6c17dcf5afb456f343b8fc8ba6fe614	0.958	0.673	0.285	1.356	0.831	0.524	1.163	0.779	0.384	995.25
omega_2685_9_0	omega_2685_9	2bbdefa9c2b65d5a19a722b1d40a2714	0.957	0.606	0.352	1.553	0.846	0.707	1.092	0.681	0.412	863.052
omega_2586_8_0	omega_2586_8	88b05f6f62587041b7f54f1a6de55fe7	0.957	0.674	0.284	1.349	0.842	0.507	1.162	0.771	0.392	983.638
omega_3158_18_0	omega_3158_18	70a7fad0701dc0c9d7cfc51f4f95aa4c	0.957	0.651	0.306	1.604	0.856	0.747	1.072	0.731	0.341	929.478
omega_3092_7_0	omega_3092_7	a5996215c6d5f7a722d6d4451f239123	0.957	0.655	0.301	1.411	0.865	0.546	1.132	0.73	0.402	927.56
omega_2859_22_0	omega_2859_22	f7022ca7dce31f00d1d73fd433d33048	0.956	0.639	0.318	1.368	0.823	0.545	1.173	0.74	0.432	943.355
omega_2559_18_0	omega_2559_18	129f55511c6fa5bc88ac1e212894b697	0.956	0.63	0.326	1.445	0.818	0.627	1.138	0.733	0.405	933.87
omega_1003_30_0	omega_1003_30	62a40bcb8ffe0ec7d3f4a593c1d3bd30	0.956	0.62	0.336	1.574	0.906	0.668	1.065	0.662	0.403	836.646
omega_1670_17_0	omega_1670_17	01d273747e04ad83964f87acae3b2263	0.956	0.692	0.264	1.439	0.928	0.511	1.084	0.73	0.353	925.388
omega_1116_4_0	omega_1116_4	a17f5bfa2f953ee842f6105724b328b2	0.955	0.627	0.328	1.545	0.839	0.706	1.093	0.713	0.38	906.788
omega_2348_3_0	omega_2348_3	59c935c8a85f60e1ffb3de41a9446388	0.955	0.627	0.328	1.182	0.68	0.502	1.376	0.89	0.486	1160.238
omega_1683_20_0	omega_1683_20	0df6a6c765ca1dc0efadaa1573ab4a3b	0.955	0.611	0.344	1.76	0.942	0.818	1.007	0.635	0.373	798.894
omega_1869_12_0	omega_1869_12	14a6afa1189d729ca2ca30cb25ef0ec7	0.955	0.753	0.202	1.26	0.901	0.359	1.136	0.821	0.315	1047.751
omega_3048_25_0	omega_3048_25	4a2ba9f314e867e43185bbd6a5ae1dc2	0.955	0.66	0.295	1.283	0.808	0.475	1.22	0.783	0.437	1002.406
omega_886_24_0	omega_886_24	52da7b14e7020765ec1f9c809d965244	0.955	0.739	0.216	1.227	0.82	0.406	1.197	0.881	0.315	1134.563
omega_438_45_0	omega_438_45	77b78c68f95d9d29374b7c57a0480bf7	0.954	0.679	0.274	1.21	0.772	0.439	1.273	0.851	0.423	1096.519
omega_1351_33_0	omega_1351_33	6f1620d1e3e1e256adde5de4e419bcbf	0.953	0.679	0.274	1.544	0.929	0.615	1.047	0.717	0.331	907.196
omega_325_31_0	omega_325_31	7af06869efe05581abcb07a9f1957865	0.953	0.625	0.328	1.447	0.819	0.629	1.132	0.726	0.406	924.777
omega_2694_24_0	omega_2694_24	62cda53ecc1df6823bff90b3518a3ea9	0.953	0.662	0.29	1.333	0.852	0.481	1.171	0.749	0.422	953.61
omega_924_46_0	omega_924_46	36db8405257efa4a5306922ec5bd5dfa	0.952	0.686	0.267	1.311	0.838	0.473	1.17	0.79	0.379	1009.934
omega_945_48_0	omega_945_48	3bea252b99ddbc81decf4b4de57b2a93	0.952	0.723	0.229	1.238	0.85	0.387	1.188	0.829	0.359	1060.692
omega_1837_28_0	omega_1837_28	19fc65212127999eb3b4c7ab3713a448	0.952	0.625	0.328	1.432	0.84	0.592	1.132	0.709	0.423	901.058
omega_334_6_0	omega_334_6	08c2076b15982dd4f56535fae56e2bcf	0.952	0.688	0.264	1.313	0.836	0.476	1.167	0.795	0.372	1016.147
omega_804_45_0	omega_804_45	13dc84544901c86cc02d39debf9d253b	0.951	0.656	0.295	1.457	0.841	0.617	1.111	0.749	0.362	954.253
omega_3191_15_0	omega_3191_15	3f02e711e5148e988d46de1c9616cbcf	0.951	0.655	0.296	1.222	0.757	0.466	1.279	0.83	0.449	1069.26
omega_148_1_0	omega_148_1	42332dd8256cd0e8e8858bc60642b254	0.951	0.635	0.315	1.352	0.811	0.541	1.176	0.745	0.431	951.114
omega_309_19_0	omega_309_19	7ab1302b0e1c1f4f83c5eaf8b45c7ac3	0.951	0.673	0.278	1.32	0.832	0.488	1.171	0.778	0.393	994.365
omega_3173_5_0	omega_3173_5	db14c1842e7ad4617c2035244730db83	0.95	0.659	0.291	1.479	0.901	0.578	1.08	0.71	0.37	899.858
omega_1367_22_0	omega_1367_22	a2bf17ca8e789aee43b92b0b55c42d7e	0.95	0.705	0.244	1.255	0.837	0.418	1.188	0.818	0.37	1047.007
