Molecule	OriginalName	Hash	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
omega_26_32_0	omega_26_32	e4912ffdbc89d131d4e82f3106000eaa	0.925	0.635	0.29	1.17	0.743	0.427	1.289	0.814	0.475	1048.306
omega_12_7_0	omega_12_7	7c5ea501d67a0946cc6c8087d2467787	0.924	0.574	0.35	1.553	0.85	0.703	1.049	0.639	0.41	807.344
omega_61_18_0	omega_61_18	c14106f0f9b0193d22b85836f9f090b6	0.919	0.656	0.263	1.281	0.823	0.459	1.144	0.764	0.381	975.454
omega_50_43_0	omega_50_43	11c6a740ff049f4b8a27026ee4b389ea	0.912	0.676	0.236	1.135	0.772	0.363	1.247	0.844	0.403	1087.882
omega_20_16_0	omega_20_16	71ca9f28bb10e9125b6cf98707eb1c81	0.911	0.64	0.271	1.256	0.79	0.466	1.164	0.771	0.393	987.643
omega_37_46_0	omega_37_46	695126cdf799c7f799f722cdea0fc8e0	0.905	0.607	0.298	1.21	0.746	0.464	1.219	0.765	0.454	982.214
omega_52_6_0	omega_52_6	baebcb0717e171cf75a8f3ab4314ba89	0.899	0.616	0.283	1.189	0.746	0.443	1.219	0.779	0.44	1000.687
omega_45_33_0	omega_45_33	d794f0371fb25c0347f695a07ca5ace0	0.878	0.583	0.295	1.308	0.76	0.548	1.105	0.715	0.39	913.956
omega_1_11_0	omega_1_11	ef659df9a2dc10936939997e81aee414	0.873	0.593	0.279	1.169	0.731	0.438	1.195	0.759	0.436	975.544
omega_68_1_0	omega_68_1	62ea6cf68344e8b32a5269f17e54269f	0.872	0.632	0.24	1.257	0.816	0.441	1.081	0.737	0.345	939.301
omega_18_30_0	omega_18_30	3b4a2cf8e04ee3fdaf5647eaa8622632	0.863	0.637	0.225	1.201	0.757	0.443	1.115	0.801	0.314	1029.508
omega_56_2_0	omega_56_2	ec87d90b4f2694358c16635eba85d105	0.862	0.607	0.255	1.278	0.76	0.518	1.086	0.751	0.335	961.623
omega_35_1_0	omega_35_1	f35b040f88c4b298453839b89706fba3	0.862	0.629	0.233	1.243	0.812	0.43	1.073	0.736	0.336	939.015
omega_49_1_0	omega_49_1	595ed62abde08b589e72e206ccc7f6cf	0.862	0.611	0.251	1.22	0.781	0.438	1.107	0.737	0.37	941.954
omega_16_2_0	omega_16_2	260a60b4030b513452ed1a3678c0086b	0.862	0.65	0.211	1.23	0.836	0.393	1.059	0.745	0.314	949.109
omega_36_1_0	omega_36_1	386d34886347ea75833ac608e46b3f2d	0.857	0.601	0.256	1.294	0.807	0.487	1.052	0.702	0.35	893.709
omega_46_2_0	omega_46_2	23d21671595ab0c484f8f312d0da918f	0.852	0.638	0.214	1.118	0.752	0.366	1.148	0.807	0.34	1039.172
omega_66_14_0	omega_66_14	6fd4dfd066ee0cd78869f52ea8fc8695	0.851	0.626	0.225	1.149	0.777	0.371	1.127	0.762	0.364	975.836
omega_69_1_0	omega_69_1	0050d9643875fc3eaa1d0f93b57f296c	0.846	0.617	0.229	1.101	0.728	0.374	1.175	0.803	0.372	1035.053
omega_32_34_0	omega_32_34	98b7949d932e50bafe202e63244eff19	0.827	0.57	0.257	1.216	0.747	0.469	1.069	0.706	0.363	902.169
omega_3_38_0	omega_3_38	a3fa19d2c8f19cc5689f38b5a88f14b9	0.82	0.58	0.239	1.213	0.747	0.466	1.052	0.722	0.33	923.991
omega_4_32_0	omega_4_32	9e1ee5fc9e1c22f3efab404e2bf47e89	0.811	0.631	0.18	1.189	0.843	0.346	0.987	0.715	0.272	909.528
omega_24_47_0	omega_24_47	b23f61ec20a8381b1183ad2e0969c0a7	0.806	0.577	0.229	1.208	0.76	0.449	1.025	0.706	0.318	902.063
omega_14_50_0	omega_14_50	ce2c64e2e99e055cc6c51557a4685f9d	0.806	0.575	0.231	1.097	0.687	0.409	1.125	0.779	0.345	1006.726
omega_8_15_0	omega_8_15	cdc8df4d78d998c2cd0c9e5077986385	0.805	0.608	0.198	1.133	0.735	0.398	1.06	0.778	0.282	999.99
omega_42_27_0	omega_42_27	6d09160ffa5b23c4f4c56441837d912d	0.802	0.55	0.253	1.069	0.692	0.377	1.162	0.728	0.434	935.606
omega_5_16_0	omega_5_16	079d8da7f880019ca24b834cdd6935e8	0.799	0.577	0.222	1.099	0.735	0.364	1.092	0.728	0.363	932.912
omega_31_23_0	omega_31_23	c74fa4145602084041f67c0e7b26f9d3	0.796	0.654	0.142	1.184	0.856	0.328	0.935	0.735	0.2	934.875
omega_70_5_0	omega_70_5	0069582fdfd718f4484967abc04497dc	0.789	0.578	0.21	1.111	0.745	0.366	1.052	0.721	0.331	922.327
omega_10_38_0	omega_10_38	de5f40213a1c782269183799ee8f615b	0.776	0.594	0.182	1.185	0.806	0.378	0.952	0.693	0.259	882.037
omega_7_1_0	omega_7_1	27c0c696afef824b96941849f9cb6449	0.774	0.582	0.192	1.242	0.878	0.363	0.922	0.633	0.289	799.501
omega_57_29_0	omega_57_29	efcd182d2256a30f1f3e0481350afbf6	0.761	0.508	0.254	0.997	0.628	0.369	1.175	0.726	0.448	939.382
omega_55_37_0	omega_55_37	1d3c640dd13d85c1eebd514e58080998	0.737	0.529	0.208	1.11	0.715	0.396	0.975	0.67	0.305	856.389
omega_38_20_0	omega_38_20	3cae901b7a015ebf36b1e18b13b7d663	0.726	0.493	0.232	1.259	0.803	0.455	0.883	0.561	0.322	707.544
omega_47_30_0	omega_47_30	a0567553d5581df7962faa4fc435209d	0.725	0.511	0.214	0.951	0.605	0.346	1.125	0.767	0.358	997.888
omega_21_5_0	omega_21_5	55ac944855f18e2557b21ab1bbb69911	0.645	0.445	0.2	0.825	0.525	0.3	1.121	0.744	0.377	976.635
