Molecule	OriginalName	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
CHEMBL256382_0_43	CHEMBL256382	0.94	0.554	0.386	1.313	0.681	0.632	1.246	0.748	0.498	925.035
CHEMBL118164_0_61	CHEMBL118164	0.938	0.611	0.328	1.337	0.799	0.538	1.178	0.722	0.456	883.52
CHEMBL77279_0_25	CHEMBL77279	0.937	0.673	0.264	1.192	0.747	0.445	1.266	0.872	0.394	1083.114
CHEMBL124788_0_50	CHEMBL124788	0.935	0.537	0.398	1.346	0.732	0.613	1.2	0.669	0.532	819.014
CHEMBL483242_0_49	CHEMBL483242	0.93	0.628	0.303	1.352	0.751	0.601	1.172	0.793	0.378	979.307
CHEMBL106265_0_40	CHEMBL106265	0.928	0.607	0.321	1.519	0.89	0.629	1.052	0.657	0.396	796.461
CHEMBL257982_0_4	CHEMBL257982	0.928	0.634	0.294	1.309	0.792	0.517	1.165	0.76	0.406	932.796
CHEMBL506250_0_32	CHEMBL506250	0.927	0.574	0.353	1.496	0.837	0.659	1.077	0.646	0.431	785.048
CHEMBL178435_0_33	CHEMBL178435	0.922	0.659	0.264	1.34	0.875	0.465	1.106	0.727	0.379	886.295
CHEMBL81616_0_93	CHEMBL81616	0.919	0.538	0.381	1.404	0.726	0.678	1.14	0.675	0.465	826.842
CHEMBL312449_0_40	CHEMBL312449	0.917	0.516	0.4	1.475	0.811	0.664	1.089	0.587	0.502	711.279
CHEMBL92906_0_17	CHEMBL92906	0.912	0.689	0.223	1.257	0.845	0.411	1.115	0.788	0.327	965.882
CHEMBL461650_0_89	CHEMBL461650	0.911	0.581	0.33	1.307	0.791	0.516	1.165	0.686	0.479	838.261
CHEMBL1170519_0_40	CHEMBL1170519	0.909	0.639	0.27	1.327	0.799	0.528	1.118	0.762	0.356	935.335
CHEMBL166429_0_5	CHEMBL166429	0.907	0.628	0.279	1.647	0.944	0.704	0.969	0.653	0.317	789.44
CHEMBL209366_1_17	CHEMBL209366	0.901	0.685	0.216	1.124	0.764	0.359	1.221	0.869	0.351	1077.923
CHEMBL573589_0_60	CHEMBL573589	0.896	0.531	0.365	1.179	0.646	0.533	1.285	0.747	0.538	927.667
CHEMBL178435_0_60	CHEMBL178435	0.888	0.634	0.254	1.306	0.855	0.451	1.078	0.71	0.368	865.305
CHEMBL405234_0_37	CHEMBL405234	0.888	0.557	0.33	1.436	0.824	0.612	1.05	0.633	0.418	768.56
CHEMBL483242_0_83	CHEMBL483242	0.886	0.638	0.248	1.273	0.759	0.514	1.124	0.8	0.324	987.983
CHEMBL398272_1_26	CHEMBL398272	0.886	0.532	0.354	1.254	0.683	0.571	1.189	0.706	0.482	871.032
CHEMBL77279_0_63	CHEMBL77279	0.886	0.603	0.283	1.168	0.698	0.47	1.231	0.815	0.416	1012.786
CHEMBL507754_0_51	CHEMBL507754	0.881	0.639	0.242	1.205	0.761	0.444	1.146	0.8	0.347	986.82
CHEMBL267200_0_24	CHEMBL267200	0.88	0.597	0.283	1.26	0.775	0.485	1.127	0.722	0.405	885.524
CHEMBL17859_0_31	CHEMBL17859	0.876	0.607	0.268	1.285	0.862	0.423	1.096	0.673	0.423	817.827
CHEMBL122806_0_17	CHEMBL122806	0.873	0.664	0.208	1.196	0.821	0.375	1.096	0.777	0.319	953.189
CHEMBL16687_0_15	CHEMBL16687	0.865	0.571	0.295	1.312	0.802	0.509	1.076	0.664	0.412	809.06
CHEMBL209366_0_64	CHEMBL209366	0.865	0.654	0.21	1.086	0.743	0.343	1.197	0.846	0.352	1048.656
CHEMBL330982_0_6	CHEMBL330982	0.865	0.495	0.369	1.238	0.669	0.569	1.169	0.656	0.513	806.937
CHEMBL507754_0_67	CHEMBL507754	0.864	0.628	0.237	1.19	0.754	0.436	1.131	0.789	0.341	973.715
CHEMBL608029_0_61	CHEMBL608029	0.86	0.659	0.201	1.079	0.76	0.319	1.185	0.833	0.352	1030.405
CHEMBL483242_0_76	CHEMBL483242	0.86	0.646	0.214	1.221	0.764	0.457	1.094	0.806	0.288	994.674
CHEMBL17859_0_77	CHEMBL17859	0.86	0.601	0.259	1.271	0.86	0.411	1.078	0.666	0.412	809.649
CHEMBL468506_0	CHEMBL468506	0.857	0.699	0.158	1.087	0.773	0.314	1.12	0.88	0.24	1091.185
CHEMBL483242_0_34	CHEMBL483242	0.853	0.618	0.236	1.234	0.744	0.49	1.097	0.785	0.312	968.371
CHEMBL1222145_0_75	CHEMBL1222145	0.847	0.597	0.251	1.32	0.782	0.539	1.035	0.716	0.319	876.957
CHEMBL17859_0_80	CHEMBL17859	0.844	0.593	0.252	1.251	0.849	0.401	1.065	0.663	0.403	805.513
CHEMBL303198_0_11	CHEMBL303198	0.844	0.512	0.331	1.298	0.734	0.564	1.075	0.629	0.446	768.149
CHEMBL95101_0_54	CHEMBL95101	0.843	0.505	0.338	1.313	0.687	0.626	1.079	0.656	0.423	805.547
CHEMBL260615_0_72	CHEMBL260615	0.841	0.555	0.286	1.376	0.785	0.591	1.011	0.654	0.357	797.165
CHEMBL360124_0_4	CHEMBL360124	0.841	0.614	0.226	1.277	0.832	0.445	1.017	0.701	0.315	855.597
CHEMBL286947_0_53	CHEMBL286947	0.838	0.597	0.241	1.245	0.788	0.457	1.05	0.711	0.339	870.028
CHEMBL17103_0_40	CHEMBL17103	0.837	0.55	0.288	1.075	0.619	0.456	1.269	0.831	0.438	1042.504
CHEMBL591999_0_80	CHEMBL591999	0.834	0.655	0.178	1.063	0.775	0.289	1.127	0.81	0.317	998.96
CHEMBL272679_0_91	CHEMBL272679	0.833	0.517	0.316	1.164	0.64	0.524	1.173	0.73	0.443	905.048
CHEMBL406298_0_4	CHEMBL406298	0.832	0.525	0.307	1.504	0.902	0.603	0.942	0.557	0.385	671.278
CHEMBL178435_0_45	CHEMBL178435	0.832	0.629	0.202	1.226	0.852	0.375	1.012	0.707	0.305	861.786
CHEMBL17859_0_58	CHEMBL17859	0.831	0.58	0.251	1.24	0.838	0.402	1.054	0.653	0.401	793.306
CHEMBL178435_0_77	CHEMBL178435	0.827	0.636	0.191	1.214	0.857	0.357	1.002	0.712	0.291	867.623
CHEMBL1095695_0_83	CHEMBL1095695	0.826	0.549	0.278	1.488	0.879	0.609	0.932	0.594	0.338	717.784
CHEMBL1079801_0_19	CHEMBL1079801	0.821	0.607	0.214	1.403	0.876	0.527	0.929	0.664	0.266	805.835
CHEMBL166429_0_87	CHEMBL166429	0.821	0.56	0.26	1.544	0.879	0.665	0.907	0.607	0.3	734.537
CHEMBL401321_0_61	CHEMBL401321	0.818	0.464	0.355	1.375	0.71	0.664	1.004	0.572	0.432	695.856
CHEMBL17859_0_66	CHEMBL17859	0.817	0.58	0.237	1.224	0.839	0.385	1.035	0.652	0.383	792.552
CHEMBL165760_0_81	CHEMBL165760	0.816	0.578	0.238	1.315	0.793	0.522	0.985	0.681	0.304	830.826
CHEMBL1095999_0_5	CHEMBL1095999	0.811	0.578	0.233	1.231	0.81	0.421	1.012	0.668	0.343	814.663
CHEMBL17859_0_86	CHEMBL17859	0.809	0.566	0.243	1.219	0.827	0.392	1.032	0.642	0.39	780.362
CHEMBL17859_0_87	CHEMBL17859	0.808	0.556	0.251	1.221	0.819	0.402	1.036	0.634	0.402	770.969
CHEMBL17859_0_96	CHEMBL17859	0.806	0.565	0.241	1.213	0.825	0.388	1.031	0.642	0.389	780.371
CHEMBL369573_0_1	CHEMBL369573	0.801	0.571	0.23	1.222	0.789	0.433	1.002	0.673	0.329	821.787
CHEMBL181981_0_20	CHEMBL181981	0.8	0.548	0.252	1.244	0.781	0.463	1.004	0.648	0.357	789.308
CHEMBL17859_0_55	CHEMBL17859	0.8	0.562	0.238	1.209	0.824	0.385	1.023	0.639	0.384	776.79
CHEMBL17859_0_84	CHEMBL17859	0.8	0.578	0.221	1.2	0.839	0.361	1.014	0.651	0.364	790.876
CHEMBL17859_0_68	CHEMBL17859	0.796	0.549	0.247	1.205	0.809	0.396	1.027	0.631	0.396	766.931
CHEMBL220445_0_79	CHEMBL220445	0.796	0.539	0.257	1.47	0.917	0.553	0.891	0.566	0.325	682.285
CHEMBL515992_0_90	CHEMBL515992	0.794	0.506	0.288	1.277	0.711	0.566	1.006	0.637	0.369	779.262
CHEMBL17859_0_51	CHEMBL17859	0.792	0.551	0.241	1.195	0.809	0.386	1.025	0.634	0.391	770.925
CHEMBL17859_0_41	CHEMBL17859	0.788	0.555	0.232	1.193	0.817	0.376	1.012	0.635	0.378	771.219
CHEMBL190_0_66	CHEMBL190	0.787	0.485	0.303	1.574	0.91	0.663	0.867	0.509	0.358	611.245
CHEMBL259736_0_75	CHEMBL259736	0.787	0.589	0.198	1.252	0.815	0.437	0.945	0.679	0.266	828.261
CHEMBL408624_0_39	CHEMBL408624	0.785	0.511	0.274	1.403	0.814	0.59	0.917	0.578	0.339	700.33
CHEMBL508786_0_98	CHEMBL508786	0.779	0.577	0.203	1.189	0.762	0.427	0.982	0.704	0.278	862.282
CHEMBL17859_0_17	CHEMBL17859	0.777	0.555	0.222	1.181	0.817	0.364	0.996	0.634	0.362	770.329
CHEMBL260719_0_35	CHEMBL260719	0.777	0.49	0.287	1.468	0.82	0.648	0.889	0.549	0.339	663.77
CHEMBL162666_0_57	CHEMBL162666	0.774	0.549	0.225	1.19	0.704	0.486	1.009	0.714	0.295	879.816
CHEMBL608029_0_57	CHEMBL608029	0.772	0.611	0.161	0.989	0.725	0.264	1.088	0.796	0.291	985.113
CHEMBL17103_0_57	CHEMBL17103	0.772	0.542	0.23	0.994	0.613	0.381	1.19	0.824	0.366	1033.819
CHEMBL17859_0_65	CHEMBL17859	0.771	0.544	0.227	1.171	0.803	0.368	1.0	0.628	0.372	763.579
CHEMBL1221457_0_8	CHEMBL1221457	0.768	0.561	0.207	1.219	0.763	0.456	0.955	0.679	0.275	830.913
CHEMBL483242_0_84	CHEMBL483242	0.763	0.57	0.193	1.124	0.707	0.417	1.01	0.746	0.264	921.413
CHEMBL17859_0_28	CHEMBL17859	0.759	0.542	0.217	1.159	0.801	0.358	0.983	0.626	0.356	761.268
CHEMBL447192_0_36	CHEMBL447192	0.752	0.553	0.2	1.243	0.798	0.444	0.908	0.642	0.266	781.686
CHEMBL491317_0_73	CHEMBL491317	0.743	0.535	0.208	1.052	0.657	0.395	1.047	0.742	0.305	920.074
