Molecule	OriginalName	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
CHEMBL1080322_0_7	CHEMBL1080322	1.193	0.774	0.42	1.368	0.843	0.526	1.58	0.904	0.676	1062.276
CHEMBL221037_0_0	CHEMBL221037	1.193	0.598	0.595	1.358	0.685	0.674	1.661	0.826	0.835	977.646
CHEMBL570229_0_7	CHEMBL570229	1.192	0.774	0.418	1.376	0.841	0.535	1.563	0.906	0.657	1064.756
CHEMBL570229_0_6	CHEMBL570229	1.192	0.774	0.418	1.376	0.841	0.535	1.563	0.906	0.657	1064.756
CHEMBL583030_0_6	CHEMBL583030	1.19	0.767	0.423	1.428	0.87	0.557	1.503	0.866	0.637	1013.259
CHEMBL568815_0_7	CHEMBL568815	1.179	0.791	0.389	1.407	0.869	0.538	1.481	0.897	0.584	1051.083
CHEMBL576475_0_3	CHEMBL576475	1.175	0.753	0.422	1.418	0.861	0.556	1.493	0.857	0.636	1002.658
CHEMBL222027_0	CHEMBL222027	1.173	0.693	0.48	1.352	0.753	0.6	1.603	0.897	0.706	1061.129
CHEMBL1080322_0	CHEMBL1080322	1.172	0.76	0.413	1.349	0.83	0.519	1.568	0.9	0.668	1057.441
CHEMBL578194_0_3	CHEMBL578194	1.17	0.76	0.41	1.425	0.833	0.592	1.468	0.896	0.572	1053.092
CHEMBL568815_0_8	CHEMBL568815	1.168	0.777	0.392	1.402	0.861	0.541	1.475	0.888	0.587	1040.868
CHEMBL391492_0_3	CHEMBL391492	1.168	0.566	0.602	1.303	0.635	0.668	1.697	0.839	0.858	999.787
CHEMBL520947_2_1	CHEMBL520947	1.161	0.802	0.359	1.406	0.894	0.512	1.432	0.886	0.546	1035.933
CHEMBL557844_0_7	CHEMBL557844	1.159	0.648	0.511	1.401	0.763	0.638	1.531	0.811	0.721	951.804
CHEMBL568788_1_7	CHEMBL568788	1.158	0.733	0.425	1.449	0.844	0.605	1.437	0.847	0.589	991.585
CHEMBL391492_0_4	CHEMBL391492	1.155	0.568	0.587	1.294	0.636	0.658	1.686	0.841	0.845	1002.241
CHEMBL391492_0_5	CHEMBL391492	1.155	0.568	0.587	1.294	0.636	0.658	1.686	0.841	0.845	1002.24
CHEMBL221037_0_1	CHEMBL221037	1.154	0.601	0.553	1.33	0.687	0.643	1.626	0.829	0.798	980.554
CHEMBL221037_0	CHEMBL221037	1.151	0.669	0.482	1.319	0.732	0.587	1.616	0.887	0.729	1049.935
CHEMBL221376_0	CHEMBL221376	1.151	0.637	0.514	1.334	0.707	0.628	1.605	0.866	0.739	1026.376
CHEMBL568788_1_5	CHEMBL568788	1.142	0.748	0.394	1.427	0.854	0.573	1.416	0.858	0.558	1003.569
CHEMBL576475_0_5	CHEMBL576475	1.139	0.745	0.394	1.386	0.856	0.53	1.458	0.852	0.606	996.787
CHEMBL218439_0_4	CHEMBL218439	1.136	0.599	0.537	1.316	0.686	0.63	1.61	0.824	0.785	975.347
CHEMBL218439_1_9	CHEMBL218439	1.135	0.581	0.554	1.329	0.672	0.657	1.589	0.811	0.779	959.217
CHEMBL583030_0_5	CHEMBL583030	1.133	0.724	0.409	1.386	0.842	0.544	1.46	0.838	0.621	980.532
CHEMBL1081138_0_3	CHEMBL1081138	1.133	0.696	0.437	1.369	0.773	0.596	1.496	0.874	0.621	1030.443
CHEMBL375205_0	CHEMBL375205	1.129	0.645	0.484	1.307	0.704	0.603	1.595	0.885	0.71	1050.533
CHEMBL520947_1_0	CHEMBL520947	1.128	0.786	0.342	1.378	0.885	0.493	1.403	0.875	0.528	1022.758
CHEMBL520947_2_2	CHEMBL520947	1.125	0.774	0.351	1.38	0.876	0.504	1.406	0.869	0.537	1015.469
CHEMBL568788_0_6	CHEMBL568788	1.123	0.743	0.38	1.411	0.851	0.56	1.396	0.855	0.542	999.972
CHEMBL578194_1_6	CHEMBL578194	1.122	0.688	0.434	1.4	0.787	0.613	1.443	0.845	0.598	992.975
CHEMBL568788_3_5	CHEMBL568788	1.121	0.695	0.427	1.424	0.818	0.606	1.412	0.822	0.59	961.34
CHEMBL583895_0_5	CHEMBL583895	1.117	0.699	0.418	1.368	0.799	0.569	1.461	0.848	0.613	995.954
CHEMBL1081138_0	CHEMBL1081138	1.117	0.728	0.389	1.339	0.79	0.549	1.475	0.902	0.573	1063.497
CHEMBL1079594_0_0	CHEMBL1079594	1.117	0.706	0.411	1.217	0.729	0.487	1.68	0.957	0.723	1139.785
CHEMBL1079594_0_5	CHEMBL1079594	1.117	0.706	0.411	1.217	0.729	0.487	1.68	0.957	0.723	1139.788
CHEMBL1079594_0_4	CHEMBL1079594	1.117	0.706	0.411	1.217	0.729	0.487	1.68	0.957	0.723	1139.781
CHEMBL1081138_0_7	CHEMBL1081138	1.117	0.68	0.437	1.358	0.763	0.596	1.483	0.863	0.621	1016.461
CHEMBL583895_0_6	CHEMBL583895	1.116	0.698	0.418	1.367	0.798	0.568	1.46	0.848	0.612	995.467
CHEMBL568815_0	CHEMBL568815	1.116	0.74	0.376	1.361	0.836	0.525	1.435	0.866	0.569	1014.72
CHEMBL568788_0_9	CHEMBL568788	1.113	0.718	0.395	1.41	0.834	0.576	1.395	0.838	0.557	980.57
CHEMBL221376_0_7	CHEMBL221376	1.113	0.613	0.5	1.309	0.692	0.617	1.569	0.844	0.725	998.924
CHEMBL568788_0_8	CHEMBL568788	1.111	0.711	0.4	1.411	0.83	0.581	1.394	0.833	0.562	974.458
CHEMBL1080322_0_0	CHEMBL1080322	1.109	0.738	0.371	1.301	0.82	0.481	1.498	0.88	0.618	1033.675
CHEMBL578194_1_5	CHEMBL578194	1.104	0.686	0.418	1.383	0.786	0.598	1.426	0.844	0.582	991.393
CHEMBL1088030_0_9	CHEMBL1088030	1.104	0.729	0.375	1.314	0.791	0.523	1.472	0.902	0.57	1063.197
CHEMBL1087398_0_9	CHEMBL1087398	1.102	0.705	0.397	1.313	0.766	0.546	1.49	0.898	0.592	1060.824
CHEMBL583895_0_7	CHEMBL583895	1.1	0.71	0.39	1.347	0.806	0.541	1.439	0.856	0.582	1004.938
CHEMBL1081975_0_2	CHEMBL1081975	1.093	0.724	0.37	1.253	0.747	0.507	1.537	0.959	0.577	1140.233
CHEMBL1081975_0	CHEMBL1081975	1.093	0.731	0.362	1.248	0.748	0.5	1.537	0.969	0.569	1151.893
CHEMBL571118_0_3	CHEMBL571118	1.088	0.774	0.314	1.321	0.86	0.461	1.382	0.885	0.497	1037.281
CHEMBL375296_0	CHEMBL375296	1.088	0.619	0.47	1.266	0.689	0.577	1.575	0.859	0.716	1018.881
CHEMBL571118_0_2	CHEMBL571118	1.087	0.77	0.316	1.321	0.858	0.463	1.382	0.883	0.499	1034.536
CHEMBL1087398_1_4	CHEMBL1087398	1.086	0.702	0.383	1.298	0.765	0.533	1.473	0.896	0.578	1057.569
CHEMBL1081975_0_1	CHEMBL1081975	1.085	0.725	0.36	1.245	0.747	0.497	1.527	0.96	0.567	1141.435
CHEMBL382752_0	CHEMBL382752	1.084	0.688	0.395	1.336	0.76	0.576	1.437	0.879	0.558	1037.441
CHEMBL569739_0_3	CHEMBL569739	1.082	0.725	0.358	1.324	0.816	0.508	1.413	0.866	0.547	1016.258
CHEMBL520947_2_4	CHEMBL520947	1.081	0.737	0.345	1.349	0.852	0.496	1.375	0.845	0.53	987.739
CHEMBL1088030_0_8	CHEMBL1088030	1.08	0.71	0.37	1.297	0.78	0.518	1.453	0.888	0.565	1047.323
CHEMBL382752_0_0	CHEMBL382752	1.079	0.687	0.392	1.333	0.761	0.572	1.431	0.876	0.555	1033.151
CHEMBL218439_0_8	CHEMBL218439	1.077	0.569	0.508	1.271	0.665	0.606	1.556	0.798	0.757	944.303
CHEMBL570002_0_1	CHEMBL570002	1.076	0.705	0.371	1.354	0.823	0.531	1.382	0.83	0.552	971.724
CHEMBL520947_0_9	CHEMBL520947	1.072	0.753	0.319	1.329	0.869	0.461	1.359	0.849	0.51	992.359
CHEMBL382752_0_6	CHEMBL382752	1.069	0.667	0.403	1.33	0.748	0.583	1.426	0.86	0.566	1014.782
CHEMBL375296_0_3	CHEMBL375296	1.064	0.556	0.508	1.256	0.647	0.609	1.552	0.797	0.755	944.697
CHEMBL1078274_0_6	CHEMBL1078274	1.058	0.669	0.389	1.315	0.761	0.554	1.412	0.846	0.566	995.98
CHEMBL520947_0_3	CHEMBL520947	1.057	0.731	0.326	1.322	0.854	0.468	1.354	0.835	0.518	975.794
CHEMBL520947_0_4	CHEMBL520947	1.057	0.731	0.326	1.322	0.854	0.468	1.354	0.835	0.518	975.759
CHEMBL323994_0_0	CHEMBL323994	1.054	0.751	0.303	1.402	0.897	0.505	1.254	0.822	0.432	957.022
CHEMBL200832_0	CHEMBL200832	1.048	0.662	0.386	1.281	0.739	0.542	1.437	0.865	0.572	1021.525
CHEMBL583105_0_0	CHEMBL583105	1.048	0.596	0.452	1.749	0.926	0.823	1.126	0.626	0.5	719.293
CHEMBL570229_0_0	CHEMBL570229	1.045	0.669	0.377	1.269	0.773	0.496	1.442	0.832	0.61	977.906
CHEMBL200832_0_5	CHEMBL200832	1.045	0.666	0.378	1.278	0.744	0.534	1.429	0.865	0.564	1020.921
CHEMBL323994_0	CHEMBL323994	1.043	0.741	0.302	1.39	0.886	0.503	1.249	0.819	0.43	954.039
CHEMBL571118_0_4	CHEMBL571118	1.04	0.752	0.288	1.277	0.846	0.431	1.336	0.871	0.465	1020.477
CHEMBL1087268_1_6	CHEMBL1087268	1.037	0.661	0.376	1.265	0.74	0.526	1.43	0.861	0.57	1016.138
CHEMBL1088030_0_5	CHEMBL1088030	1.035	0.703	0.332	1.253	0.775	0.478	1.404	0.883	0.522	1040.522
CHEMBL200832_0_1	CHEMBL200832	1.032	0.669	0.363	1.265	0.746	0.519	1.414	0.867	0.548	1022.786
CHEMBL323994_0_7	CHEMBL323994	1.031	0.685	0.346	1.409	0.851	0.558	1.256	0.779	0.477	907.072
CHEMBL375296_1	CHEMBL375296	1.027	0.581	0.446	1.233	0.662	0.571	1.497	0.825	0.672	978.959
CHEMBL1081443_0_7	CHEMBL1081443	1.025	0.688	0.336	1.272	0.768	0.504	1.372	0.869	0.503	1023.44
CHEMBL1081443_0_5	CHEMBL1081443	1.025	0.688	0.336	1.272	0.768	0.504	1.372	0.869	0.503	1023.522
CHEMBL1081443_0_6	CHEMBL1081443	1.025	0.688	0.336	1.272	0.768	0.504	1.372	0.869	0.503	1023.485
CHEMBL568788_2_8	CHEMBL568788	1.024	0.734	0.29	1.302	0.845	0.457	1.29	0.849	0.442	993.002
CHEMBL1087268_1_7	CHEMBL1087268	1.021	0.606	0.415	1.266	0.702	0.564	1.428	0.816	0.612	963.847
CHEMBL220483_0_6	CHEMBL220483	1.021	0.581	0.44	1.192	0.64	0.551	1.548	0.863	0.684	1029.693
CHEMBL568790_0_8	CHEMBL568790	1.015	0.664	0.351	1.389	0.877	0.512	1.26	0.732	0.528	848.388
CHEMBL1087268_1_5	CHEMBL1087268	1.014	0.655	0.359	1.244	0.736	0.507	1.406	0.856	0.55	1010.24
CHEMBL1078274_0_4	CHEMBL1078274	1.008	0.664	0.345	1.265	0.758	0.507	1.36	0.842	0.518	991.37
CHEMBL570002_0_8	CHEMBL570002	1.007	0.733	0.274	1.264	0.842	0.422	1.288	0.85	0.439	994.235
CHEMBL570002_0_9	CHEMBL570002	1.007	0.733	0.274	1.264	0.842	0.422	1.288	0.849	0.439	994.196
CHEMBL535_0_1	CHEMBL535	1.007	0.706	0.301	1.26	0.783	0.477	1.327	0.877	0.449	1033.347
CHEMBL1081977_0	CHEMBL1081977	1.002	0.69	0.312	1.172	0.724	0.448	1.443	0.936	0.507	1113.186
CHEMBL571118_1_6	CHEMBL571118	1.001	0.726	0.275	1.245	0.829	0.416	1.302	0.853	0.448	999.845
CHEMBL569739_0	CHEMBL569739	1.0	0.674	0.326	1.255	0.78	0.475	1.343	0.832	0.51	977.345
CHEMBL482189_2_6	CHEMBL482189	1.0	0.73	0.269	1.277	0.857	0.42	1.261	0.832	0.429	971.881
CHEMBL535_0_0	CHEMBL535	0.996	0.702	0.294	1.249	0.78	0.469	1.316	0.875	0.442	1030.113
CHEMBL205098_0_2	CHEMBL205098	0.995	0.708	0.287	1.211	0.78	0.431	1.347	0.884	0.463	1042.002
CHEMBL578194_0_5	CHEMBL578194	0.995	0.683	0.312	1.267	0.783	0.484	1.31	0.842	0.468	989.293
CHEMBL570192_1_3	CHEMBL570192	0.994	0.618	0.376	1.3	0.749	0.551	1.322	0.78	0.542	914.33
CHEMBL570192_0_8	CHEMBL570192	0.993	0.665	0.328	1.283	0.782	0.5	1.303	0.815	0.488	955.753
CHEMBL569739_0_6	CHEMBL569739	0.992	0.671	0.321	1.249	0.78	0.469	1.333	0.828	0.505	971.667
CHEMBL191003_0	CHEMBL191003	0.992	0.711	0.281	1.227	0.8	0.427	1.317	0.865	0.452	1016.539
CHEMBL520947_1_2	CHEMBL520947	0.991	0.693	0.298	1.267	0.824	0.443	1.289	0.814	0.475	951.951
CHEMBL520947_1_3	CHEMBL520947	0.991	0.693	0.298	1.267	0.824	0.443	1.289	0.814	0.475	951.95
CHEMBL495727_1_1	CHEMBL495727	0.99	0.696	0.294	1.184	0.776	0.407	1.385	0.871	0.514	1026.03
CHEMBL570192_1_2	CHEMBL570192	0.99	0.618	0.372	1.296	0.749	0.547	1.318	0.78	0.538	914.007
CHEMBL570002_1_5	CHEMBL570002	0.987	0.737	0.249	1.236	0.845	0.39	1.261	0.852	0.409	997.425
CHEMBL191003_0_5	CHEMBL191003	0.984	0.712	0.272	1.219	0.803	0.416	1.302	0.863	0.439	1013.148
CHEMBL583105_0	CHEMBL583105	0.983	0.574	0.409	1.672	0.903	0.77	1.078	0.612	0.466	703.189
CHEMBL391096_0_9	CHEMBL391096	0.983	0.575	0.408	1.118	0.62	0.498	1.58	0.888	0.693	1063.996
CHEMBL1078275_0	CHEMBL1078275	0.981	0.701	0.279	1.184	0.765	0.419	1.35	0.894	0.457	1055.407
CHEMBL568788_3_8	CHEMBL568788	0.98	0.706	0.275	1.262	0.826	0.437	1.255	0.829	0.425	970.204
CHEMBL576486_0_1	CHEMBL576486	0.978	0.68	0.298	1.288	0.845	0.443	1.255	0.777	0.477	905.45
CHEMBL482189_1_7	CHEMBL482189	0.978	0.741	0.237	1.244	0.865	0.379	1.227	0.838	0.389	978.473
CHEMBL578194_0_9	CHEMBL578194	0.978	0.677	0.301	1.249	0.779	0.47	1.293	0.838	0.455	984.313
CHEMBL1081977_0_0	CHEMBL1081977	0.977	0.673	0.305	1.155	0.715	0.439	1.417	0.918	0.499	1091.133
CHEMBL576486_0_2	CHEMBL576486	0.976	0.679	0.297	1.286	0.844	0.442	1.253	0.777	0.476	904.525
CHEMBL205098_0	CHEMBL205098	0.975	0.721	0.254	1.176	0.784	0.391	1.319	0.899	0.42	1060.691
CHEMBL570002_1_7	CHEMBL570002	0.973	0.704	0.269	1.238	0.823	0.415	1.264	0.83	0.434	970.876
CHEMBL571118_1_7	CHEMBL571118	0.973	0.719	0.254	1.215	0.825	0.391	1.27	0.849	0.421	994.356
CHEMBL233151_0_0	CHEMBL233151	0.972	0.502	0.47	1.112	0.563	0.55	1.588	0.822	0.765	987.371
CHEMBL568788_3_4	CHEMBL568788	0.971	0.703	0.268	1.253	0.824	0.429	1.244	0.827	0.418	967.285
CHEMBL1077841_0	CHEMBL1077841	0.971	0.647	0.324	1.219	0.718	0.501	1.345	0.867	0.478	1025.62
CHEMBL582808_1_4	CHEMBL582808	0.97	0.632	0.338	1.202	0.726	0.477	1.368	0.831	0.537	980.407
CHEMBL232147_1_9	CHEMBL232147	0.969	0.644	0.326	1.082	0.677	0.405	1.553	0.93	0.623	1110.474
CHEMBL576486_0_8	CHEMBL576486	0.969	0.68	0.288	1.276	0.845	0.431	1.242	0.778	0.465	905.559
CHEMBL482189_1_4	CHEMBL482189	0.968	0.72	0.249	1.243	0.85	0.393	1.228	0.824	0.403	962.35
CHEMBL482189_1_6	CHEMBL482189	0.968	0.72	0.249	1.243	0.85	0.393	1.228	0.824	0.403	962.348
CHEMBL1078229_0_8	CHEMBL1078229	0.967	0.667	0.3	1.188	0.731	0.457	1.35	0.884	0.466	1046.556
CHEMBL495727_1_2	CHEMBL495727	0.967	0.681	0.286	1.165	0.766	0.398	1.362	0.86	0.502	1012.908
CHEMBL205098_0_7	CHEMBL205098	0.967	0.712	0.255	1.175	0.783	0.393	1.308	0.887	0.421	1045.497
CHEMBL191003_0_8	CHEMBL191003	0.966	0.725	0.241	1.19	0.811	0.379	1.272	0.872	0.4	1024.317
CHEMBL232147_1_5	CHEMBL232147	0.961	0.648	0.314	1.073	0.679	0.394	1.538	0.933	0.605	1114.652
CHEMBL393375_0_0	CHEMBL393375	0.961	0.566	0.395	1.081	0.603	0.478	1.596	0.901	0.695	1084.191
CHEMBL1081977_0_9	CHEMBL1081977	0.96	0.661	0.3	1.141	0.708	0.433	1.401	0.908	0.492	1079.481
CHEMBL578194_1_8	CHEMBL578194	0.96	0.674	0.286	1.228	0.777	0.45	1.274	0.836	0.439	981.77
CHEMBL571118_1_5	CHEMBL571118	0.959	0.736	0.223	1.188	0.836	0.352	1.24	0.86	0.38	1007.75
CHEMBL232147_1_8	CHEMBL232147	0.958	0.599	0.359	1.084	0.647	0.436	1.56	0.889	0.671	1061.875
CHEMBL570192_1_4	CHEMBL570192	0.955	0.668	0.287	1.235	0.785	0.45	1.26	0.818	0.442	958.502
CHEMBL570192_0_2	CHEMBL570192	0.953	0.605	0.348	1.261	0.739	0.522	1.279	0.77	0.51	902.361
CHEMBL1078274_0_8	CHEMBL1078274	0.95	0.644	0.306	1.208	0.744	0.463	1.301	0.827	0.474	973.926
CHEMBL375296_1_7	CHEMBL375296	0.946	0.604	0.342	1.153	0.681	0.472	1.396	0.842	0.555	997.584
CHEMBL375296_1_8	CHEMBL375296	0.946	0.604	0.342	1.153	0.681	0.472	1.396	0.842	0.555	997.574
CHEMBL582808_1_0	CHEMBL582808	0.946	0.633	0.313	1.176	0.726	0.45	1.338	0.831	0.507	980.041
CHEMBL1077841_0_2	CHEMBL1077841	0.945	0.647	0.298	1.192	0.722	0.47	1.309	0.861	0.448	1018.27
CHEMBL221959_0_2	CHEMBL221959	0.944	0.685	0.259	1.306	0.849	0.457	1.155	0.78	0.374	908.831
CHEMBL1077841_0_6	CHEMBL1077841	0.94	0.644	0.296	1.188	0.72	0.468	1.305	0.859	0.446	1015.852
CHEMBL482189_0_9	CHEMBL482189	0.939	0.711	0.228	1.21	0.849	0.361	1.196	0.814	0.383	949.464
CHEMBL231733_0_4	CHEMBL231733	0.937	0.521	0.416	1.054	0.566	0.488	1.607	0.867	0.74	1045.268
CHEMBL221959_0_3	CHEMBL221959	0.936	0.684	0.252	1.295	0.848	0.447	1.146	0.78	0.366	908.44
CHEMBL482189_2_0	CHEMBL482189	0.935	0.682	0.253	1.223	0.823	0.4	1.207	0.799	0.408	933.518
CHEMBL1078229_0_1	CHEMBL1078229	0.934	0.645	0.289	1.161	0.717	0.444	1.319	0.866	0.452	1025.488
CHEMBL1078277_0	CHEMBL1078277	0.934	0.658	0.276	1.141	0.726	0.415	1.327	0.875	0.452	1035.429
CHEMBL1078229_0_3	CHEMBL1078229	0.933	0.644	0.289	1.159	0.716	0.444	1.318	0.866	0.452	1024.482
CHEMBL570192_0_5	CHEMBL570192	0.933	0.635	0.298	1.226	0.761	0.464	1.246	0.793	0.453	929.938
CHEMBL482189_0_3	CHEMBL482189	0.932	0.715	0.217	1.198	0.852	0.346	1.184	0.816	0.368	952.496
CHEMBL272424_0_1	CHEMBL272424	0.932	0.631	0.301	1.177	0.734	0.443	1.301	0.818	0.483	962.923
CHEMBL482189_2_1	CHEMBL482189	0.931	0.685	0.245	1.215	0.825	0.39	1.2	0.802	0.398	936.34
CHEMBL482189_0_5	CHEMBL482189	0.93	0.714	0.216	1.197	0.851	0.346	1.182	0.815	0.367	951.499
CHEMBL1088030_1_5	CHEMBL1088030	0.93	0.639	0.291	1.163	0.732	0.431	1.306	0.834	0.472	982.997
CHEMBL1087268_0_7	CHEMBL1087268	0.929	0.625	0.304	1.164	0.716	0.448	1.317	0.831	0.486	980.588
CHEMBL375296_0_2	CHEMBL375296	0.929	0.585	0.344	1.131	0.669	0.462	1.396	0.824	0.573	975.881
CHEMBL1079078_0	CHEMBL1079078	0.925	0.648	0.277	1.135	0.72	0.416	1.321	0.867	0.454	1026.208
CHEMBL1078275_0_1	CHEMBL1078275	0.922	0.637	0.286	1.152	0.726	0.426	1.303	0.839	0.464	989.786
CHEMBL604578_0_1	CHEMBL604578	0.922	0.559	0.363	1.27	0.754	0.516	1.235	0.684	0.551	796.004
CHEMBL1080955_1_0	CHEMBL1080955	0.919	0.64	0.279	1.122	0.7	0.423	1.333	0.882	0.45	1047.123
CHEMBL1079078_0_5	CHEMBL1079078	0.918	0.65	0.268	1.129	0.724	0.405	1.307	0.865	0.442	1022.895
CHEMBL1078934_1_4	CHEMBL1078934	0.915	0.626	0.289	1.14	0.696	0.444	1.315	0.863	0.452	1022.627
CHEMBL220483_0_1	CHEMBL220483	0.909	0.51	0.4	1.104	0.588	0.515	1.433	0.793	0.64	945.609
CHEMBL1081484_0_2	CHEMBL1081484	0.909	0.615	0.294	1.065	0.644	0.421	1.425	0.93	0.495	1116.02
CHEMBL1078934_1_3	CHEMBL1078934	0.909	0.614	0.295	1.138	0.687	0.451	1.312	0.852	0.459	1010.53
CHEMBL1088030_1_8	CHEMBL1088030	0.908	0.621	0.287	1.147	0.72	0.427	1.286	0.819	0.467	965.596
CHEMBL1079078_0_8	CHEMBL1079078	0.908	0.648	0.26	1.118	0.723	0.395	1.294	0.863	0.431	1020.694
CHEMBL1078934_0_6	CHEMBL1078934	0.907	0.633	0.274	1.114	0.701	0.413	1.315	0.867	0.448	1027.917
CHEMBL233151_0_6	CHEMBL233151	0.906	0.583	0.323	1.04	0.62	0.42	1.491	0.907	0.584	1088.82
CHEMBL231733_0_5	CHEMBL231733	0.906	0.54	0.366	1.024	0.579	0.445	1.562	0.887	0.675	1069.786
CHEMBL1081484_0	CHEMBL1081484	0.906	0.617	0.289	1.059	0.644	0.415	1.424	0.937	0.487	1124.886
CHEMBL1088030_1_9	CHEMBL1088030	0.905	0.62	0.285	1.144	0.719	0.425	1.282	0.818	0.464	964.791
CHEMBL1078688_0	CHEMBL1078688	0.905	0.639	0.266	1.088	0.706	0.382	1.338	0.871	0.466	1032.77
CHEMBL1078277_0_8	CHEMBL1078277	0.904	0.611	0.293	1.132	0.697	0.435	1.305	0.831	0.474	982.256
CHEMBL578974_0_3	CHEMBL578974	0.903	0.58	0.323	1.533	0.931	0.602	1.017	0.606	0.411	695.888
CHEMBL392998_0_0	CHEMBL392998	0.903	0.526	0.378	1.028	0.566	0.462	1.556	0.882	0.674	1064.742
